ReviewText,Review,ReviewLength,PlayHours,DatePosted
EARLY ACCESS REVIEWit is really good considering i have always loved pokemon you should definately try it,Recommended,89,10.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWHave it for computer and xbox and we love it! Xbox version is definitely more glitchy.,Recommended,88,72.7 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWHonestly looking at the game i would have never bought it myself, however after testing with friends it is alot of fun and well worth the money.",Recommended,135,103.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI like this game a lot, execpt for one thing. I’m not a big fan of the goal. Sure, the end goal is fun, but I’d say add some side quests or something extra onto it, then it’s better. Other than that, I like it.",Recommended,183,7.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThis is a better game in Early Access than a lot of games are after a full release and a few years of continued development. Given how good it is, now, I can't wait to see how much better it'll be even by the end of the year!",Recommended,195,334.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWIt is a huge game with so much to do, whether you like gathering, collecting, exploring, base building, or training with your pals. Devs come out with frequent, substantial updates and seem to listen to exactly what the players want, adding in features and improvements that are highly requested. Give the game a try.",Recommended,281,71.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThere is potential here.A lot of it.But at the time of writing there is nothing to do with the mechanics in place. Defeating bosses, catching pals and building up a base only goes so far without a reason to do it.I would love to see a proggressive story, a better map and the likes.",Recommended,246,39.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWxdfgfghgfn,Recommended,27,116.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits nice,Recommended,24,51.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWballz,Recommended,22,90.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit is really good considering i have always loved pokemon you should definately try it,Recommended,89,10.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWHave it for computer and xbox and we love it! Xbox version is definitely more glitchy.,Recommended,88,72.7 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWHonestly looking at the game i would have never bought it myself, however after testing with friends it is alot of fun and well worth the money.",Recommended,135,103.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI like this game a lot, execpt for one thing. I’m not a big fan of the goal. Sure, the end goal is fun, but I’d say add some side quests or something extra onto it, then it’s better. Other than that, I like it.",Recommended,183,7.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThis is a better game in Early Access than a lot of games are after a full release and a few years of continued development. Given how good it is, now, I can't wait to see how much better it'll be even by the end of the year!",Recommended,195,334.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWIt is a huge game with so much to do, whether you like gathering, collecting, exploring, base building, or training with your pals. Devs come out with frequent, substantial updates and seem to listen to exactly what the players want, adding in features and improvements that are highly requested. Give the game a try.",Recommended,281,71.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThere is potential here.A lot of it.But at the time of writing there is nothing to do with the mechanics in place. Defeating bosses, catching pals and building up a base only goes so far without a reason to do it.I would love to see a proggressive story, a better map and the likes.",Recommended,246,39.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWPET, TAME, BEFRIEND and if they don't ENSLAVE AND MASSACRE!",Recommended,67,55.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit's ok,Recommended,23,98.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe recent update is completely a disaster for single player.freaking OP boss...HATE IT SO MUCH,Not Recommended,98,119.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWas a Pokemon fan I can safely say this is nothing like Pokemon.Pokemon fans are just high on something.,Recommended,102,17.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWguns and slavery. exactly what i want.,Recommended,49,5.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWj,Recommended,18,97.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWo,Recommended,18,85.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvery good game,Recommended,29,42.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is one of the best games ever,Recommended,48,6.5 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI absolutely love Palworld! This game is so funny and entertaining, I highly recommend it to anyone looking for a good time. I can't wait to see what new content they come out with in the future, I will definitely be coming back for more after some updates. Give it a try, you won't regret it!",Recommended,255,221.0 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWPET, TAME, BEFRIEND and if they don't ENSLAVE AND MASSACRE!",Recommended,67,55.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit's ok,Recommended,23,98.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe recent update is completely a disaster for single player.freaking OP boss...HATE IT SO MUCH,Not Recommended,98,119.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWas a Pokemon fan I can safely say this is nothing like Pokemon.Pokemon fans are just high on something.,Recommended,102,17.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWguns and slavery. exactly what i want.,Recommended,49,5.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWj,Recommended,18,97.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWo,Recommended,18,85.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvery good game,Recommended,29,42.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is one of the best games ever,Recommended,48,6.5 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI absolutely love Palworld! This game is so funny and entertaining, I highly recommend it to anyone looking for a good time. I can't wait to see what new content they come out with in the future, I will definitely be coming back for more after some updates. Give it a try, you won't regret it!",Recommended,255,221.0 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWPoor performance! Developers lazy as hell, they don't know what optimization is, they just know that civilization have a great technology",Not Recommended,134,18.5 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWvery good, only a little similar to pokemon... but not a lot. ;D 10/10",Recommended,74,34.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,71.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGREAT GAME. PURE FUN,Recommended,34,38.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI Love this game and i got pc just to play it. it is everything you would want in a open world survival with monster helpers,Recommended,116,63.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGood,Recommended,21,252.7 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThe new player experience is good , even solo there is allot to do",Recommended,70,79.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEW:),Recommended,19,60.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,31.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGOOD GAME OVER ALL,Recommended,32,85.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWPoor performance! Developers lazy as hell, they don't know what optimization is, they just know that civilization have a great technology",Not Recommended,134,18.5 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWvery good, only a little similar to pokemon... but not a lot. ;D 10/10",Recommended,74,34.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,71.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGREAT GAME. PURE FUN,Recommended,34,38.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI Love this game and i got pc just to play it. it is everything you would want in a open world survival with monster helpers,Recommended,116,63.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGood,Recommended,21,252.7 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThe new player experience is good , even solo there is allot to do",Recommended,70,79.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEW:),Recommended,19,60.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,31.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGOOD GAME OVER ALL,Recommended,32,85.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyes,Recommended,20,25.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,43.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits fun time goes quick,Recommended,36,195.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpokemon meets valheim... sorta,Recommended,44,49.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgun pokemon,Recommended,27,130.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWVery Beautiful game and very grinding,Recommended,49,46.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmindblowing game,Recommended,32,5.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt actually fun to play with frinds,Recommended,46,12.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWDumb game but super fun at the same time.,Recommended,50,10.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi always wanted a pokemon type game on pc in palworld provide,Recommended,67,37.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyes,Recommended,20,25.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,43.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits fun time goes quick,Recommended,36,195.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpokemon meets valheim... sorta,Recommended,44,49.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgun pokemon,Recommended,27,130.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWVery Beautiful game and very grinding,Recommended,49,46.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmindblowing game,Recommended,32,5.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt actually fun to play with frinds,Recommended,46,12.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWDumb game but super fun at the same time.,Recommended,50,10.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi always wanted a pokemon type game on pc in palworld provide,Recommended,67,37.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game remind me old Great Britain times....(￣▽￣),Recommended,62,14.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvfdgjwgtb2 erg g45y5eu5,Recommended,38,21.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpeaskkkk,Recommended,25,5.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmy pokemon tried to sleep with me??????????????,Recommended,58,37.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt is really an enjoyable game,Recommended,42,261.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWboth big updates wiped character progress from our dedicated server,Not Recommended,75,72.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsooo gooood,Recommended,27,32.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWawesome game love it and I've never been big into pokemon but love this,Recommended,75,109.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits a fun game if you like survival,Recommended,45,8.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWoverwhelmingly positive, its so funny (starfield is st*pid)",Recommended,69,212.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game remind me old Great Britain times....(￣▽￣),Recommended,62,14.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvfdgjwgtb2 erg g45y5eu5,Recommended,38,21.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpeaskkkk,Recommended,25,5.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmy pokemon tried to sleep with me??????????????,Recommended,58,37.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt is really an enjoyable game,Recommended,42,261.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWboth big updates wiped character progress from our dedicated server,Not Recommended,75,72.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsooo gooood,Recommended,27,32.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWawesome game love it and I've never been big into pokemon but love this,Recommended,75,109.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits a fun game if you like survival,Recommended,45,8.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWoverwhelmingly positive, its so funny (starfield is st*pid)",Recommended,69,212.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI have had so much fun building my enslaved work force and watching my rise to power flourish!!!!!!!,Recommended,100,99.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game has just been amazing.,Recommended,44,68.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmaking my own slave camp,Recommended,37,84.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI don't have anything to say. I like it, and i hope you will too. If not, hey, there are other games out there.",Recommended,105,5.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,11.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWlove. it. so . much . fun,Recommended,36,182.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWlack of missons/ i guess but other tan that its a very fun game,Recommended,67,49.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWthis game has a whole lot of potential and im all for it. im having alot of fun and the only thing i wanna see in the game now is a sort of reputation system. like you are able to join different factions and the bosses can be people you can talk to and do things for, making them more involved and enhance the game. kind of like how Fallout New Vegas did it. but of course that is just a want of mine and im down for any updates that come to the game. i cannot wait to see how this game continues.",Recommended,411,21.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWFun all around, everything the game it closely resembles should have been, and then some. Trying to get a few people to play it, but I'll be sticking around on this one for as long as they keep it going.",Recommended,181,210.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWOne of the best made, most fun, early release games i've ever played. I haven't played a game 14 hours straight since BO3. Love this game and still grinding to level 50.",Recommended,155,45.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI have had so much fun building my enslaved work force and watching my rise to power flourish!!!!!!!,Recommended,100,99.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game has just been amazing.,Recommended,44,68.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmaking my own slave camp,Recommended,37,84.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI don't have anything to say. I like it, and i hope you will too. If not, hey, there are other games out there.",Recommended,105,5.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,11.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWlove. it. so . much . fun,Recommended,36,182.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWlack of missons/ i guess but other tan that its a very fun game,Recommended,67,49.9 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWthis game has a whole lot of potential and im all for it. im having alot of fun and the only thing i wanna see in the game now is a sort of reputation system. like you are able to join different factions and the bosses can be people you can talk to and do things for, making them more involved and enhance the game. kind of like how Fallout New Vegas did it. but of course that is just a want of mine and im down for any updates that come to the game. i cannot wait to see how this game continues.",Recommended,411,21.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWFun all around, everything the game it closely resembles should have been, and then some. Trying to get a few people to play it, but I'll be sticking around on this one for as long as they keep it going.",Recommended,181,210.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWOne of the best made, most fun, early release games i've ever played. I haven't played a game 14 hours straight since BO3. Love this game and still grinding to level 50.",Recommended,155,45.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWbeen pretty fun so far,Recommended,35,12.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWa pal touched me and im sure how i feel about it,Recommended,54,90.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgreat game. affordable price. attentive devs. 9/10,Recommended,61,210.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWgood, fun game",Recommended,29,195.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpokemon with guns,Recommended,32,69.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWbest combin of pokemons and making them do slavery for free and shooting them with guns,Recommended,89,4.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEW..,Recommended,19,14.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgreat game. mow your enemies down and butcher your Pals for fun,Recommended,69,10.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnot good,Not Recommended,24,26.5 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWPokemon meets Minecraft, I have lost hours and hours playing this game. It's addicting and something you can get lost in with friends and family.",Recommended,138,13.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWbeen pretty fun so far,Recommended,35,12.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWa pal touched me and im sure how i feel about it,Recommended,54,90.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgreat game. affordable price. attentive devs. 9/10,Recommended,61,210.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWgood, fun game",Recommended,29,195.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpokemon with guns,Recommended,32,69.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWbest combin of pokemons and making them do slavery for free and shooting them with guns,Recommended,89,4.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEW..,Recommended,19,14.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgreat game. mow your enemies down and butcher your Pals for fun,Recommended,69,10.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnot good,Not Recommended,24,26.5 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWPokemon meets Minecraft, I have lost hours and hours playing this game. It's addicting and something you can get lost in with friends and family.",Recommended,138,13.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWW mechanics W graphics W game,Recommended,41,121.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWark but with pokemon,Recommended,34,14.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit was great eith friemds wish there was more stuff to do,Recommended,63,121.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgame,Recommended,21,47.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWslavery,Recommended,24,37.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis is the most fun I have had with a survival game in a long time. Can't wait for the new area this summer.,Recommended,103,88.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyippee,Recommended,23,45.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEW10/10,Recommended,22,82.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWYeah, this game 100% deserves the love the comunity is giving. The first big patch just came after a couple of months, and let me tell you, this people do read comments and feedback, they just added or fixed like 70% of the features the comunity requetsed and wanted. This game is worth every single penny!",Recommended,268,74.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi love this game. i love how the devs are funny and they actually listen to player feedback and comments. i hope they never change and keep doing what they're doing because it's fun and I can't wait for more content and new pals <3,Recommended,204,156.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWW mechanics W graphics W game,Recommended,41,121.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWark but with pokemon,Recommended,34,14.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit was great eith friemds wish there was more stuff to do,Recommended,63,121.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgame,Recommended,21,47.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWslavery,Recommended,24,37.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis is the most fun I have had with a survival game in a long time. Can't wait for the new area this summer.,Recommended,103,88.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyippee,Recommended,23,45.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEW10/10,Recommended,22,82.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWYeah, this game 100% deserves the love the comunity is giving. The first big patch just came after a couple of months, and let me tell you, this people do read comments and feedback, they just added or fixed like 70% of the features the comunity requetsed and wanted. This game is worth every single penny!",Recommended,268,74.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi love this game. i love how the devs are funny and they actually listen to player feedback and comments. i hope they never change and keep doing what they're doing because it's fun and I can't wait for more content and new pals <3,Recommended,204,156.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi like,Recommended,22,76.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWAbsolutely in love with this game. I can't wait to see where it'll go from here!,Recommended,82,19.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWVery fun and highly entertaining.,Recommended,46,53.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWforced labor but OKAY,Recommended,35,57.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is pretty goated I dunno what else to say,Recommended,58,11.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWso fun oh my geeeeee:3333333,Recommended,41,104.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGreat,Recommended,22,17.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWこれは本当に楽しいですよー,Recommended,30,46.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWabsolutely love this game, very good alternative to pokemon and ark and many game like that. very fun, cute critters and i love the building in it too. great game",Recommended,150,9.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWIt's a Pokemon reboot but with the action rpg battles we always wanted. Online play would be better with a massive (or a few) official online servers that were stable/reliable. But otherwise, it's totally worth it!",Recommended,196,190.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWi like,Recommended,22,76.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWAbsolutely in love with this game. I can't wait to see where it'll go from here!,Recommended,82,19.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWVery fun and highly entertaining.,Recommended,46,53.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWforced labor but OKAY,Recommended,35,57.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is pretty goated I dunno what else to say,Recommended,58,11.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWso fun oh my geeeeee:3333333,Recommended,41,104.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWGreat,Recommended,22,17.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWこれは本当に楽しいですよー,Recommended,30,46.6 hrs on record,Posted: April 5
