ReviewText,Review,ReviewLength,PlayHours,DatePosted
EARLY ACCESS REVIEWAsset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset,Recommended,773,52.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWPretty cool,Recommended,27,60.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWQDASDASD,Recommended,25,12.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyes,Recommended,20,12.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI Will Eat 1 Tablespoon of Mayonnaise For Every Like this review gets.,Recommended,75,15.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIt is amazing with friends and is so fun and enjoyable. Highly recommend.,Recommended,78,11.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit is a fun multiplayer game that requires teamwork and dumbness,Recommended,71,58.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWthe new version 50 intro made me ♥♥♥♥ my pants harder then a 3am trip to taco bell,Recommended,82,175.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWthis game is great to play with friends, its a coop horror game and a new update (v50) is coming out soon",Recommended,101,61.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWjeb,Recommended,20,21.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit amazing,Recommended,26,31.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWYes,Recommended,20,8.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit's not the hype anymore but still fun 2 play ^_^,Recommended,57,26.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit have monstor,Recommended,30,16.3 hrs on record,Posted: April 5
Product refundedEARLY ACCESS REVIEWno mic racism,Not Recommended,43,2.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWim terrified of the man thats comes in my behind,Recommended,56,28.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEW10/10,Recommended,22,9.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBest Game For friends,Recommended,35,52.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmost fun experience in a while. very fun with friends,Recommended,61,3.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWLit,Recommended,20,84.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWAsset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset Asset a great great asset,Recommended,773,52.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWPretty cool,Recommended,27,60.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWQDASDASD,Recommended,25,12.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWyes,Recommended,20,12.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI Will Eat 1 Tablespoon of Mayonnaise For Every Like this review gets.,Recommended,75,15.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpeak fiction,Recommended,28,123.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWVery fun,Recommended,24,4.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood,Recommended,21,63.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWpretty fun game especially whit mods and friends :D (P.s this can be named bracken dating sim lmao),Recommended,99,48.7 hrs on record,Posted: April 5
EARLY ACCESS REVIEWreally fire with friends too,Recommended,41,31.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMy team drowned themselves and i had to do everything,Recommended,61,6.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThumper is hot,Recommended,29,56.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnice game i like it,Recommended,32,10.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWFantastic game to play with friends, a little bit of horror is added but it spices up the overall experience.",Recommended,107,9.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWlove it,Recommended,23,4.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWif you like ♥♥♥♥♥♥ only,Recommended,36,41.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThis game is very fun especially with friends, if you don't have any though it's still very fun if you find a good public lobby",Recommended,120,77.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI threw the ♥♥♥♥♥♥♥ game because of a spore lizard10/10 would play with friends only,Recommended,87,3.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfa paria,Recommended,24,33.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMe when the business is fatal,Recommended,41,8.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfun game scary brr blow up funny haha dance with friends,Recommended,63,28.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsilly yipppe and thr spook,Recommended,39,2.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game and fun,Recommended,31,15.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game but when sex update,Recommended,41,52.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is actually so fun! At first it was terrifying and it kind of still is but it needs more monsters.,Recommended,104,19.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWif you like ♥♥♥♥♥♥ only,Recommended,36,41.2 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWThis game is very fun especially with friends, if you don't have any though it's still very fun if you find a good public lobby",Recommended,120,77.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWI threw the ♥♥♥♥♥♥♥ game because of a spore lizard10/10 would play with friends only,Recommended,87,3.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfa paria,Recommended,24,33.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMe when the business is fatal,Recommended,41,8.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWfun game scary brr blow up funny haha dance with friends,Recommended,63,28.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsilly yipppe and thr spook,Recommended,39,2.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game and fun,Recommended,31,15.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game but when sex update,Recommended,41,52.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThis game is actually so fun! At first it was terrifying and it kind of still is but it needs more monsters.,Recommended,104,19.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIs good,Recommended,23,63.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvery epic,Recommended,25,50.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwill change to positive when sex update,Not Recommended,50,6.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnice game,Recommended,25,7.0 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWVery fun game, play +20 player mod",Recommended,45,40.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit's an amazing and FUNNY experience :),Recommended,50,15.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,34.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWYIPEE,Recommended,22,20.8 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI will leave my cat here, so that everybody who passes by can pet it and give it a thumbs up and awards.⠀⠀⠀⠀⠀⠀⢀⡤⣤⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡏⠀⠀⠈⠳⣄⠀⠀⠀⠀⠀⣀⠴⠋⠉⠉⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⠀⠀⠈⠉⠉⠙⠓⠚⠁⠀⠀⠀⠀⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⠞⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠹⣄⠀⠀⠀⠀⠀⠀⠀⠀⡞⠀⠀⠀⠀⠀⠶⠀⠀⠀⠀⠀⠀⠦⠀⠀⠀⠀⠀⠸⡆⠀⠀⠀⢠⣤⣶⣾⣧⣤⣤⣀⡀⠀⠀⠀⠀⠈⠀⠀⠀⢀⡤⠴⠶⠤⢤⡀⣧⣀⣀⠀⠻⠶⣾⠁⠀⠀⠀⠀⠙⣆⠀⠀⠀⠀⠀⠀⣰⠋⠀⠀⠀⠀⠀⢹⣿⣭⣽⠇⠀⠀⠙⠤⠴⢤⡤⠤⠤⠋⠉⠉⠉⠉⠉⠉⠉⠳⠖⠦⠤⠶⠦⠞⠁⠀⠀",Recommended,322,5.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWso there's an enemy in this game and they're basically normal dudes with masks but like we were new so from afar we thought he was just a teammate and as i turned around this guy is in my face spitting blood all over me and when i go to spectate i see my teammates running around like it's some looney tunes chase and everyone got eaten by the blind dogs except 1 guy so when the masked dude came over to him he caught up and grabbed him and the two got eaten by a big ass sandworm,Recommended,400,20.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWIs good,Recommended,23,63.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWvery epic,Recommended,25,50.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWwill change to positive when sex update,Not Recommended,50,6.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnice game,Recommended,25,7.0 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWVery fun game, play +20 player mod",Recommended,45,40.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit's an amazing and FUNNY experience :),Recommended,50,15.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWgood game,Recommended,25,34.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWYIPEE,Recommended,22,20.8 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI will leave my cat here, so that everybody who passes by can pet it and give it a thumbs up and awards.⠀⠀⠀⠀⠀⠀⢀⡤⣤⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡏⠀⠀⠈⠳⣄⠀⠀⠀⠀⠀⣀⠴⠋⠉⠉⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⠀⠀⠈⠉⠉⠙⠓⠚⠁⠀⠀⠀⠀⣿⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⠞⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠹⣄⠀⠀⠀⠀⠀⠀⠀⠀⡞⠀⠀⠀⠀⠀⠶⠀⠀⠀⠀⠀⠀⠦⠀⠀⠀⠀⠀⠸⡆⠀⠀⠀⢠⣤⣶⣾⣧⣤⣤⣀⡀⠀⠀⠀⠀⠈⠀⠀⠀⢀⡤⠴⠶⠤⢤⡀⣧⣀⣀⠀⠻⠶⣾⠁⠀⠀⠀⠀⠙⣆⠀⠀⠀⠀⠀⠀⣰⠋⠀⠀⠀⠀⠀⢹⣿⣭⣽⠇⠀⠀⠙⠤⠴⢤⡤⠤⠤⠋⠉⠉⠉⠉⠉⠉⠉⠳⠖⠦⠤⠶⠦⠞⠁⠀⠀",Recommended,322,5.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWso there's an enemy in this game and they're basically normal dudes with masks but like we were new so from afar we thought he was just a teammate and as i turned around this guy is in my face spitting blood all over me and when i go to spectate i see my teammates running around like it's some looney tunes chase and everyone got eaten by the blind dogs except 1 guy so when the masked dude came over to him he caught up and grabbed him and the two got eaten by a big ass sandworm,Recommended,400,20.8 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWGame is really good mostly with friends also as a solo it's tough but fun. It's a loot extraction game with a very small learning curve that does ramp up slightly at harder moons. Game also feels very casual which is nice you aren't forced to grind out anything except a few ship upgrades early game but those mostly just add qol rather than a must have immediately.One thing i will say that is terrible about this game is public lobbies. I'd say about 30% of the public lobby players are cheaters some do it blatantly and some not like i had one guy flying through the walls when we weren't around and extracting tons of loot ended up seeing him in death cam then I had another guy join our pretty progressed save as a random 4th and he waited for quota day and deleted all the items in the ship. I also had a player join and flip the monitor and storage unit on its side which was not fixable without cheats. Also nothing is done at all to combat cheaters in this game since it's a small dev team and a non competitive casual game which I get it that's exactly why people cheat but honestly after seeing it even a few times it gets old and kinda ruins the multiplayer experience which is one of the better aspects of this game.Another problem with the game is the amount of trolls out of the 70% non cheaters expect about 4/5 of these other randoms to be complete trolls anything from turning the lights of and hiding the light switch to blaring music in their microphone or loud noises. These are easy enough to deal with as you can mute players but there are also items in the game that turn you into a mimic which can throw your whole run and weapons which allow players to come in and kill everyone in the lobby.TLDR GOOD GAME, AVOID PLAYING WITH RANDOM PEOPLE, GOOD ENTRY LEVEL GAME FOR LOOT EXTRACTION GENRE.",Recommended,1492,39.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmy friends are boring but this games pretty cool,Recommended,57,4.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWso fun and enjoyable you will get hooked emedeatly should play with friends,Recommended,80,13.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWDamn they weren't lying, that company was lethal.",Recommended,59,129.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit fun,Recommended,22,31.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWi love it, being a wage slave is fun with friends",Recommended,56,55.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWtroll ur friends with a mask :),Recommended,42,58.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits a very good horror game to play with your friends would recommend,Recommended,74,24.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEW.,Recommended,18,5.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWGud game, your team is either autistic, high af, or drunk af",Recommended,66,2.4 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWGame is really good mostly with friends also as a solo it's tough but fun. It's a loot extraction game with a very small learning curve that does ramp up slightly at harder moons. Game also feels very casual which is nice you aren't forced to grind out anything except a few ship upgrades early game but those mostly just add qol rather than a must have immediately.One thing i will say that is terrible about this game is public lobbies. I'd say about 30% of the public lobby players are cheaters some do it blatantly and some not like i had one guy flying through the walls when we weren't around and extracting tons of loot ended up seeing him in death cam then I had another guy join our pretty progressed save as a random 4th and he waited for quota day and deleted all the items in the ship. I also had a player join and flip the monitor and storage unit on its side which was not fixable without cheats. Also nothing is done at all to combat cheaters in this game since it's a small dev team and a non competitive casual game which I get it that's exactly why people cheat but honestly after seeing it even a few times it gets old and kinda ruins the multiplayer experience which is one of the better aspects of this game.Another problem with the game is the amount of trolls out of the 70% non cheaters expect about 4/5 of these other randoms to be complete trolls anything from turning the lights of and hiding the light switch to blaring music in their microphone or loud noises. These are easy enough to deal with as you can mute players but there are also items in the game that turn you into a mimic which can throw your whole run and weapons which allow players to come in and kill everyone in the lobby.TLDR GOOD GAME, AVOID PLAYING WITH RANDOM PEOPLE, GOOD ENTRY LEVEL GAME FOR LOOT EXTRACTION GENRE.",Recommended,1492,39.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWmy friends are boring but this games pretty cool,Recommended,57,4.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWso fun and enjoyable you will get hooked emedeatly should play with friends,Recommended,80,13.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWDamn they weren't lying, that company was lethal.",Recommended,59,129.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit fun,Recommended,22,31.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWi love it, being a wage slave is fun with friends",Recommended,56,55.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWtroll ur friends with a mask :),Recommended,42,58.2 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits a very good horror game to play with your friends would recommend,Recommended,74,24.5 hrs on record,Posted: April 5
EARLY ACCESS REVIEW.,Recommended,18,5.1 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWGud game, your team is either autistic, high af, or drunk af",Recommended,66,2.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBEST GAME,Recommended,25,4.0 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWgrown men screaming for mommy, so good!",Recommended,50,34.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnice 10/10 a sus kid joined me now i hate my life good game i lovee it,Recommended,71,40.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMost fun I've ever had in a multiplayer game,Recommended,53,63.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWkarena teman saya beban,Not Recommended,37,21.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMy friends locked me out of the ship as I was being attacked by bees,Recommended,71,12.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits fun,Recommended,23,148.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsi,Recommended,19,22.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits epic gamer,Recommended,29,9.7 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI saw my friend being eaten alive, while my other friend hit the griddy next to him",Recommended,84,58.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBEST GAME,Recommended,25,4.0 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWgrown men screaming for mommy, so good!",Recommended,50,34.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWnice 10/10 a sus kid joined me now i hate my life good game i lovee it,Recommended,71,40.3 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMost fun I've ever had in a multiplayer game,Recommended,53,63.1 hrs on record,Posted: April 5
EARLY ACCESS REVIEWkarena teman saya beban,Not Recommended,37,21.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWMy friends locked me out of the ship as I was being attacked by bees,Recommended,71,12.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits fun,Recommended,23,148.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWsi,Recommended,19,22.8 hrs on record,Posted: April 5
EARLY ACCESS REVIEWits epic gamer,Recommended,29,9.7 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWI saw my friend being eaten alive, while my other friend hit the griddy next to him",Recommended,84,58.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWBEST GAME ON STEAM,Recommended,32,13.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWYour balls will be tickled,Recommended,39,26.6 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWthis game keeps giving me boners, help me.",Recommended,52,129.0 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe community is mostly nice and the gameplay is solid. (but you knew that didn't you?),Recommended,89,19.6 hrs on record,Posted: April 5
EARLY ACCESS REVIEWThe future pentacle of child labor.,Recommended,47,27.9 hrs on record,Posted: April 5
EARLY ACCESS REVIEWit is fun,Recommended,24,8.4 hrs on record,Posted: April 5
EARLY ACCESS REVIEWbracken is hot,Recommended,29,63.3 hrs on record,Posted: April 5
"EARLY ACCESS REVIEWIn my opinion this is the best multiplayer horror game for fun, it has alot of stuff. For me when i play multiplayer even tho i know evrything its still hella fun to se when people die, scream or just make jokes and playing the first three maps alone is very calming and fun in its own way, this is the game that made me relize that talking to people aint that bad :)Love this game so fricking much",Recommended,337,130.2 hrs on record,Posted: April 5
