ReviewText,Review,ReviewLength,PlayHours,DatePosted
"EARLY ACCESS REVIEWWinter had swept in, and as the festivities died down after the holidays ended and the new year began, the town had grown quiet, as it usually does. Men and women and children bundled up inside their homes with the heaters on and loved ones snuggled up in their blankets- and then there was me, staring up at the ceiling, wishing summer would come back.I was an adult now. I had taxes to file, jobs to do, classes to attend. It all felt almost underwhelming in a way, like barely anything changed at all.I wanted to relive some of those memories I had. I wanted to play back through those games that changed my life. I wanted to relive what it was like to play through them for the first time again. But that was impossible. Breath of the Wild was my favorite game of all time, and even with that, I'd played Tears of the Kingdom the previous year and BOTW too many times to count. I was so bored. All I did was laze around in bed and talk to friends and talk about how we've gotta find something new to do and yet not wanting to do anything new. Because what I really wanted wasn't something new, I wanted something old.This game ♥♥♥♥♥♥♥ sucks. I mean it's buggy, runs horribly, is hilariously incomplete, and the systems are all just a bunch of assets and game mechanics stolen from other games and dumped together with no thought whatsoever. I mean when I say buggy it's an understatement too, half the bosses don't even drop what they're supposed to, there are certain areas that just don't even have bosses that clearly are supposed to have them, one time I was fighting a boss and I got to half health, then to dodge one of his attacks I flew up and apparently I got too far from the boss so it just reset to max health??Still had fun though. Wait for a sale and play with friends.",Not Recommended,1468,10.2 hrs on record,Posted: 2 April
"EARLY ACCESS REVIEW""This item may bring you despair. Even though this beautiful world is filled with all kinds of possibilities, buttered toast always lands buttered side down; it rains after you wash your car; the more you want, the less chance you acquire splendid loots from a loot box. Of course you won't realize you have no paper before its to late."" Is the description for toilet paper amen.",Recommended,330,20.3 hrs on record,Posted: 30 March
EARLY ACCESS REVIEWGod I wish Breath of the Wild was on steam,Recommended,50,37.0 hrs on record,Posted: March 28
EARLY ACCESS REVIEWUnplayable. Too expensive in this situation.,Not Recommended,56,9.6 hrs on record,Posted: March 27
"EARLY ACCESS REVIEWI like it, wish there were more mods",Recommended,46,58.1 hrs on record,Posted: March 25
EARLY ACCESS REVIEWgud,Recommended,20,20.8 hrs on record,Posted: March 25
EARLY ACCESS REVIEWgud,Recommended,20,22.7 hrs on record,Posted: March 25
"EARLY ACCESS REVIEWGAME IS PROGRESING IN RIGHT DIRECTION, BECOMING MORE ENJOYABLE, KIDS LOVE IT AND SO DO US ADULTS",Recommended,97,44.1 hrs on record,Posted: March 25
"EARLY ACCESS REVIEWThis game is an absolutely janky and ridiculously buggy mess and I love everything about it. It's got a bit of everything and it's a hilariously awesome. It's clearly not a finished product, but once it's done, this is definitely going to be a real treasure. I will admit that it's not for everybody, but I also say it's basically designed to be. I say give it a chance.",Recommended,319,283.4 hrs on record,Posted: March 31
"EARLY ACCESS REVIEWYes it's still in early access and yes there are a lot of bugs and things that don't work properly. Yes the dialogue and NPCs are carbon copies of eachother and the quest system is your standard, ""collect 5 of X"" or ""kill X monster"" but I adore this game any how. Sue me.",Recommended,235,65.3 hrs on record,Posted: March 26
EARLY ACCESS REVIEWI picked it up again recently to see how the game is doing and it has changed completely in how it was set up to be played when it first came out.Honestly the developers 1000% already moved on to Pal World. This game is basically dying slowly.,Not Recommended,214,11.0 hrs on record,Posted: March 25
"EARLY ACCESS REVIEWGiving this game a positive review because it's still being developed. It's never had this much content before, people are crying for no reason.To the people who are crying about this game ceasing development because of palworld: No. It hasn't.",Recommended,222,36.7 hrs on record,Posted: March 25
EARLY ACCESS REVIEWGod I wish Breath of the Wild was on steam,Recommended,50,37.0 hrs on record,Posted: March 28
EARLY ACCESS REVIEWUnplayable. Too expensive in this situation.,Not Recommended,56,9.6 hrs on record,Posted: March 27
"EARLY ACCESS REVIEWI like it, wish there were more mods",Recommended,46,58.1 hrs on record,Posted: March 25
EARLY ACCESS REVIEWgud,Recommended,20,20.8 hrs on record,Posted: March 25
EARLY ACCESS REVIEWgud,Recommended,20,22.7 hrs on record,Posted: March 25
"EARLY ACCESS REVIEWGAME IS PROGRESING IN RIGHT DIRECTION, BECOMING MORE ENJOYABLE, KIDS LOVE IT AND SO DO US ADULTS",Recommended,97,44.1 hrs on record,Posted: March 25
"EARLY ACCESS REVIEWThis game is an absolutely janky and ridiculously buggy mess and I love everything about it. It's got a bit of everything and it's a hilariously awesome. It's clearly not a finished product, but once it's done, this is definitely going to be a real treasure. I will admit that it's not for everybody, but I also say it's basically designed to be. I say give it a chance.",Recommended,319,283.4 hrs on record,Posted: March 31
"EARLY ACCESS REVIEWYes it's still in early access and yes there are a lot of bugs and things that don't work properly. Yes the dialogue and NPCs are carbon copies of eachother and the quest system is your standard, ""collect 5 of X"" or ""kill X monster"" but I adore this game any how. Sue me.",Recommended,235,65.3 hrs on record,Posted: March 26
EARLY ACCESS REVIEWI picked it up again recently to see how the game is doing and it has changed completely in how it was set up to be played when it first came out.Honestly the developers 1000% already moved on to Pal World. This game is basically dying slowly.,Not Recommended,214,11.0 hrs on record,Posted: March 25
"EARLY ACCESS REVIEWGiving this game a positive review because it's still being developed. It's never had this much content before, people are crying for no reason.To the people who are crying about this game ceasing development because of palworld: No. It hasn't.",Recommended,222,36.7 hrs on record,Posted: March 25
EARLY ACCESS REVIEW⭐⭐⭐⭐,Recommended,21,30.4 hrs on record,Posted: March 24
EARLY ACCESS REVIEW🎈I recommend this game because its high quality and i'm a survival game fan u gotta try this game now 🎈,Recommended,100,73.4 hrs on record,Posted: March 19
EARLY ACCESS REVIEWIt only took 5 minutes of playing this game to realise that this was going to be the least fun experience I have had in years.,Not Recommended,118,0.3 hrs on record,Posted: March 18
"EARLY ACCESS REVIEW1. Beautiful graphics and art style2. Lots of skills to master and upgrade3. Relaxing or Gripping depending on which style you prefer4. Dedicated devs5. How has Nintendo not sued yet?Anyways, love this game!",Recommended,192,14.6 hrs on record,Posted: March 20
"EARLY ACCESS REVIEWHaven't played for 4 years and id like to point out this game is such a cash grab it might as well be named so, and on a side note all the reviews marked as irrelevant are bad reviews or reviews that are to honest for the dev to handle, 10/10 go ♥♥♥♥ yourself pocketpair",Not Recommended,233,17.0 hrs on record,Posted: March 20
"EARLY ACCESS REVIEWCraftopia is an amusing riddle.Just like many ""Open World"" crafting/survival -esque games, there is barely any objective other than to wander around and armor yourself with whatever you want/can. This means that you can take your time and do whatever next you desire, but at the same time, lacking any defined ultimate goal.""Crafting"" seems to be the short term goal, and you can eventually do factories that do things in-masse, like an infinite number of hot dogs or massively producing weapons: you can use those to clear some ""achievements"" which is always to sacrifice X amount of items, so you can get a barely noticeable increase of stat (ranging from decimal points of Strength, critical damage, or a sometimes laughable amount of experience).The problem is that most of these stat increases are so little, that there is little reward to sacrifice some valuable items, so you end up ignoring those completely.Graphics are okay, can be both breathtaking or boring, depending on what you looking at.Design choices...well, there is a lot to say.There is quite a lot of animal abuse (done in a cartoonish way) but the animals and some monsters styles are somewhat mismatched (most livestock have a realistic design, but goblins are too goofy, for example). Still, some people may find that annoying.There is still a lot of issues with the skill tree, some skills scaling normal, some others scale extremely poorly, have awkward execution (skill attacks in place while enemy easily moves to the sides), the targeting system needs some work and overall, hitting and smashing enemies should feel satisfying, which right now i cannot concur.Oh and just for anyone new, there are 2 versions of this game, but this review is mostly for the new version.Pros:+Graphics are nice, maybe a bit average by today standards.+A lot of out of place things that will make you chuckle, try bombing a goblin with a tank.+Barely any limits on when building/crafting is involved, so you can do whatever you want.+Quite a good amount of quirky items, like guns, helicopters, cars, etc.+Many new life improvements (like enchanting, pets or bigger item stacks). Bosses can be fought multiple times easier, without having to go through the dungeons over and over.+Able to max out the number of sacrificed items for every category is a good goal...Cons-...if the incentives where a bit better.-Despite its improvements over the first version, some things have been nerfed negatively (heal has a super long delay, refinement stones can only be acquired via disassembly, some recipes are anubis gated or harder to get, among others)-Battle system still feels clunky.-Physics still have many problems and you can no longer do some things that you could before effectively (the farm stack works, but it may clip on the ground, be flown way by fans or conveyors, etc).-Goddawful character creation options: extremely limited amount of faces, hairstyles,etc. For a game that brags on world customization, its pretty limited on this department.-No Story, pretty much. No ""real"" characters to interact, no real motive for adventuring/surviving, other than ""oops, i did a bubu""-NPCs look a bit better, but still are lifeless drones. At least they no longer poop in place. Or maybe they do.-Just one Island with many biomes. I preferred having multiple islands with their respective biome.Neutral= Is it wrong if i prefer some of the older ""puzzle"" or challenge type dungeons from the previous release?= Where is the log guy? I want to give him a log.Just like my review, Craftopia is all over the place, but i feel confident that you may find somewhat you may like so, even with all its flaws, i can recommend it, as long as you don't have high expectations.Either making a farm and forgetting about adventure, wandering around and finding stuff, crafting stuff to infinity, or making the sky castle you always wanted.Do whatever and poop wherever you want.",Recommended,3299,481.1 hrs on record,Posted: March 20
"EARLY ACCESS REVIEWI do not understand how this is mostly positive. Its buggy, performs poorly and has been in early access for years. I picked this up when it first became available on steam and its some how gotten worse over time. They've copied more from botw for no reason like the starting area being a platue, the musical jingles and a lot of enemies are heavily based in botw enemies the most obvious being the 'goblins' which are clearly bokolins.Game needs some SERIOUSLY TLC and at this point Im not sure it can walk back all the botw 'inspiration' enough to make the game its own thing.The game also just runs very poorly with frame drops, getting stuck on terrain, game crashes and enemies/creatures clearly moving at lower frames then everything else.",Not Recommended,632,7.0 hrs on record,Posted: March 18
"EARLY ACCESS REVIEWGame worked fine but now doesn't work even though I meet the minimum system requirements. Game is not optimized well for lower-end PCs. It's RAM intensive and 16GB Ram and not shared should be minimum, but really you need 32 GB RAM minimum.",Not Recommended,215,20.7 hrs on record,Posted: March 17
"EARLY ACCESS REVIEWYou CAN have fun playing it, but there is a lot of flaws with the game. It's very easy to exploit, and things feel just throw out all over the place. I got this because of Palworld.",Not Recommended,162,16.6 hrs on record,Posted: March 17
"EARLY ACCESS REVIEWAfter an announcement made in the Palworld Discord about Craftopia I decided to check out some gameplays and give it a shot. I actually like Craftopia more than I like Palworld. It just, feels better to play and somehow it doesn't feel repetitive. After playing multiple runthroughs with Palworld (which I also like) I find myself preferring Craftopia because Palworld gets boring once its time to level up endgame pals. I just gave up because the condenser requires just too much and I lost interest. Building in PAlworld was also too limited. While the interface of Craftopia is similar, the gameplay focuses on crafting rather than catching pals. I love crafting when its worth it. Craftopia makes it worth it. Will Update as I get through more of the game",Recommended,647,20.8 hrs on record,Posted: March 17
EARLY ACCESS REVIEW⭐⭐⭐⭐,Recommended,21,30.4 hrs on record,Posted: March 24
EARLY ACCESS REVIEW🎈I recommend this game because its high quality and i'm a survival game fan u gotta try this game now 🎈,Recommended,100,73.4 hrs on record,Posted: March 19
EARLY ACCESS REVIEWIt only took 5 minutes of playing this game to realise that this was going to be the least fun experience I have had in years.,Not Recommended,118,0.3 hrs on record,Posted: March 18
"EARLY ACCESS REVIEW1. Beautiful graphics and art style2. Lots of skills to master and upgrade3. Relaxing or Gripping depending on which style you prefer4. Dedicated devs5. How has Nintendo not sued yet?Anyways, love this game!",Recommended,192,14.6 hrs on record,Posted: March 20
"EARLY ACCESS REVIEWHaven't played for 4 years and id like to point out this game is such a cash grab it might as well be named so, and on a side note all the reviews marked as irrelevant are bad reviews or reviews that are to honest for the dev to handle, 10/10 go ♥♥♥♥ yourself pocketpair",Not Recommended,233,17.0 hrs on record,Posted: March 20
"EARLY ACCESS REVIEWCraftopia is an amusing riddle.Just like many ""Open World"" crafting/survival -esque games, there is barely any objective other than to wander around and armor yourself with whatever you want/can. This means that you can take your time and do whatever next you desire, but at the same time, lacking any defined ultimate goal.""Crafting"" seems to be the short term goal, and you can eventually do factories that do things in-masse, like an infinite number of hot dogs or massively producing weapons: you can use those to clear some ""achievements"" which is always to sacrifice X amount of items, so you can get a barely noticeable increase of stat (ranging from decimal points of Strength, critical damage, or a sometimes laughable amount of experience).The problem is that most of these stat increases are so little, that there is little reward to sacrifice some valuable items, so you end up ignoring those completely.Graphics are okay, can be both breathtaking or boring, depending on what you looking at.Design choices...well, there is a lot to say.There is quite a lot of animal abuse (done in a cartoonish way) but the animals and some monsters styles are somewhat mismatched (most livestock have a realistic design, but goblins are too goofy, for example). Still, some people may find that annoying.There is still a lot of issues with the skill tree, some skills scaling normal, some others scale extremely poorly, have awkward execution (skill attacks in place while enemy easily moves to the sides), the targeting system needs some work and overall, hitting and smashing enemies should feel satisfying, which right now i cannot concur.Oh and just for anyone new, there are 2 versions of this game, but this review is mostly for the new version.Pros:+Graphics are nice, maybe a bit average by today standards.+A lot of out of place things that will make you chuckle, try bombing a goblin with a tank.+Barely any limits on when building/crafting is involved, so you can do whatever you want.+Quite a good amount of quirky items, like guns, helicopters, cars, etc.+Many new life improvements (like enchanting, pets or bigger item stacks). Bosses can be fought multiple times easier, without having to go through the dungeons over and over.+Able to max out the number of sacrificed items for every category is a good goal...Cons-...if the incentives where a bit better.-Despite its improvements over the first version, some things have been nerfed negatively (heal has a super long delay, refinement stones can only be acquired via disassembly, some recipes are anubis gated or harder to get, among others)-Battle system still feels clunky.-Physics still have many problems and you can no longer do some things that you could before effectively (the farm stack works, but it may clip on the ground, be flown way by fans or conveyors, etc).-Goddawful character creation options: extremely limited amount of faces, hairstyles,etc. For a game that brags on world customization, its pretty limited on this department.-No Story, pretty much. No ""real"" characters to interact, no real motive for adventuring/surviving, other than ""oops, i did a bubu""-NPCs look a bit better, but still are lifeless drones. At least they no longer poop in place. Or maybe they do.-Just one Island with many biomes. I preferred having multiple islands with their respective biome.Neutral= Is it wrong if i prefer some of the older ""puzzle"" or challenge type dungeons from the previous release?= Where is the log guy? I want to give him a log.Just like my review, Craftopia is all over the place, but i feel confident that you may find somewhat you may like so, even with all its flaws, i can recommend it, as long as you don't have high expectations.Either making a farm and forgetting about adventure, wandering around and finding stuff, crafting stuff to infinity, or making the sky castle you always wanted.Do whatever and poop wherever you want.",Recommended,3299,481.1 hrs on record,Posted: March 20
"EARLY ACCESS REVIEWI do not understand how this is mostly positive. Its buggy, performs poorly and has been in early access for years. I picked this up when it first became available on steam and its some how gotten worse over time. They've copied more from botw for no reason like the starting area being a platue, the musical jingles and a lot of enemies are heavily based in botw enemies the most obvious being the 'goblins' which are clearly bokolins.Game needs some SERIOUSLY TLC and at this point Im not sure it can walk back all the botw 'inspiration' enough to make the game its own thing.The game also just runs very poorly with frame drops, getting stuck on terrain, game crashes and enemies/creatures clearly moving at lower frames then everything else.",Not Recommended,632,7.0 hrs on record,Posted: March 18
"EARLY ACCESS REVIEWGame worked fine but now doesn't work even though I meet the minimum system requirements. Game is not optimized well for lower-end PCs. It's RAM intensive and 16GB Ram and not shared should be minimum, but really you need 32 GB RAM minimum.",Not Recommended,215,20.7 hrs on record,Posted: March 17
"EARLY ACCESS REVIEWYou CAN have fun playing it, but there is a lot of flaws with the game. It's very easy to exploit, and things feel just throw out all over the place. I got this because of Palworld.",Not Recommended,162,16.6 hrs on record,Posted: March 17
"EARLY ACCESS REVIEWAfter an announcement made in the Palworld Discord about Craftopia I decided to check out some gameplays and give it a shot. I actually like Craftopia more than I like Palworld. It just, feels better to play and somehow it doesn't feel repetitive. After playing multiple runthroughs with Palworld (which I also like) I find myself preferring Craftopia because Palworld gets boring once its time to level up endgame pals. I just gave up because the condenser requires just too much and I lost interest. Building in PAlworld was also too limited. While the interface of Craftopia is similar, the gameplay focuses on crafting rather than catching pals. I love crafting when its worth it. Craftopia makes it worth it. Will Update as I get through more of the game",Recommended,647,20.8 hrs on record,Posted: March 17
"EARLY ACCESS REVIEWIf I could turn the pageIn time then I'd rearrange just a day or twoClose my, close my, close my eyesBut I couldn't find a waySo I'll settle for one day to believe in youTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesAlthough I'm not making plansI hope that you'll understand there's a reason whyClose your, close your, close your eyesNo more broken heartsWe're better off apart, let's give it a tryTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesIf I could turn the pageIn time then I'd rearrange just a day or twoClose my, close my, close my eyesBut I couldn't find a waySo I'll settle for one day to believe in youTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesTell me, tell me lies",Not Recommended,1099,108.9 hrs on record,Posted: March 16
EARLY ACCESS REVIEWreally good game,Recommended,31,62.8 hrs on record,Posted: March 16
EARLY ACCESS REVIEWWhy buy this game if you can afford Palworld?,Not Recommended,54,124.4 hrs on record,Posted: March 15
"EARLY ACCESS REVIEWThe translations are comedy gold. Guess they couldn't find one person that speaks English. Here is a selection of fish:Giant Trevally - Is exactly exile who like to taste alone swim there as lonely at large. Sessha the giant trevally. The bamboo basket is flowing.Blue Turtle - Is a turtle to live longer a huge, is a valuable meat eaten by the sea. Eggs gave birth in tears also be eaten.Shrimp - Some large varieties to eat to capture the tiger called black tiger.Koi Fish - Greed in consuming eat everything, but easy to the minute fishing. Gory need people time to eat for.The developer put out a statement today to reassure gamers that the success of Palworld won't take away from the development of Craftopia as they are developed by separate teams.Let me translate the above: Don't worry, the developers that actually know what they are doing won't touch this game. It will stay with the same team that sat on this bugfest for years.In terms of updates, the Seamless update (which took 2 years to release) gutted most of the content. The Seamless update released 9 months ago. The update this week finally restored the last Evolution Age that was gutted by the Seamless update and existed 3 years ago.I'm rating this up, because I had fun messing around in coop. However, the game is still full of bugs and has a terrible performance. The moment you set up any automation, the FPS tanks. I ended up watching a slide show again today when my FPS fell to 9 on my RTX 3080 at 1440p.",Recommended,1237,221.4 hrs on record,Posted: March 16
"EARLY ACCESS REVIEWvery very disappointing. so clunky and buggy, its unplayable imo.",Not Recommended,73,0.3 hrs on record,Posted: March 11
EARLY ACCESS REVIEWMultiplayer monster catcher survival game version of Zelda!!!!,Recommended,72,55.5 hrs on record,Posted: March 10
EARLY ACCESS REVIEWBought this game to setup a dedicated server for family and spent most of the 8 hrs troubleshooting why the heck the NPC's are lagging no matter how much resources I gave the server.,Not Recommended,166,23.7 hrs on record,Posted: March 15
"EARLY ACCESS REVIEWvery good game. i recommend it to everybody who enjoy erg, survival, sandbox game. it's still in early acces so a lot of bug are there, but than again since it is in early verzion than we shoul expect a lot more to come. the developer is as well very active since the uptade about bug fix are comming out pretty fast. PS: sorry about my bad english.",Recommended,299,7.1 hrs on record,Posted: March 15
"EARLY ACCESS REVIEWThoroughly enjoy the game now; as I did when I first bought it 2 years ago. Granted some aspects of the game are still being worked on, but that's neither here nor there. Great job on developing Craftopia to what it is now, I can't wait to see what the future has in store.",Recommended,237,135.4 hrs on record,Posted: March 14
"EARLY ACCESS REVIEWThis game has such a huge potential, at this point I think it was a testing block for Palworld.Pros:Tame creaturesAutomation for grindingFun CombatGreat skill TreeHuge SandboxCreativity for building can go farCons:Horribly unstable MultiplayerNo real end game contentEven with NPC quests game feels deadVery little customization for charactersRegular movement can be clunklyRating 6/10I would recommend if wanting a nice singleplayer experience and more of a chill laid back gameplay. Would rate higher if the game had more features and multiplayer was more stable.",Recommended,501,5.4 hrs on record,Posted: March 11
"EARLY ACCESS REVIEWIf I could turn the pageIn time then I'd rearrange just a day or twoClose my, close my, close my eyesBut I couldn't find a waySo I'll settle for one day to believe in youTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesAlthough I'm not making plansI hope that you'll understand there's a reason whyClose your, close your, close your eyesNo more broken heartsWe're better off apart, let's give it a tryTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesIf I could turn the pageIn time then I'd rearrange just a day or twoClose my, close my, close my eyesBut I couldn't find a waySo I'll settle for one day to believe in youTell me, tell me, tell me liesTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesTell me liesTell me, tell me liesOh no-no, you can't disguiseYou can't disguiseNo, you can't disguiseTell me lies, tell me sweet little liesTell me, tell me lies",Not Recommended,1099,108.9 hrs on record,Posted: March 16
EARLY ACCESS REVIEWreally good game,Recommended,31,62.8 hrs on record,Posted: March 16
EARLY ACCESS REVIEWWhy buy this game if you can afford Palworld?,Not Recommended,54,124.4 hrs on record,Posted: March 15
"EARLY ACCESS REVIEWThe translations are comedy gold. Guess they couldn't find one person that speaks English. Here is a selection of fish:Giant Trevally - Is exactly exile who like to taste alone swim there as lonely at large. Sessha the giant trevally. The bamboo basket is flowing.Blue Turtle - Is a turtle to live longer a huge, is a valuable meat eaten by the sea. Eggs gave birth in tears also be eaten.Shrimp - Some large varieties to eat to capture the tiger called black tiger.Koi Fish - Greed in consuming eat everything, but easy to the minute fishing. Gory need people time to eat for.The developer put out a statement today to reassure gamers that the success of Palworld won't take away from the development of Craftopia as they are developed by separate teams.Let me translate the above: Don't worry, the developers that actually know what they are doing won't touch this game. It will stay with the same team that sat on this bugfest for years.In terms of updates, the Seamless update (which took 2 years to release) gutted most of the content. The Seamless update released 9 months ago. The update this week finally restored the last Evolution Age that was gutted by the Seamless update and existed 3 years ago.I'm rating this up, because I had fun messing around in coop. However, the game is still full of bugs and has a terrible performance. The moment you set up any automation, the FPS tanks. I ended up watching a slide show again today when my FPS fell to 9 on my RTX 3080 at 1440p.",Recommended,1237,221.4 hrs on record,Posted: March 16
"EARLY ACCESS REVIEWvery very disappointing. so clunky and buggy, its unplayable imo.",Not Recommended,73,0.3 hrs on record,Posted: March 11
EARLY ACCESS REVIEWMultiplayer monster catcher survival game version of Zelda!!!!,Recommended,72,55.5 hrs on record,Posted: March 10
EARLY ACCESS REVIEWBought this game to setup a dedicated server for family and spent most of the 8 hrs troubleshooting why the heck the NPC's are lagging no matter how much resources I gave the server.,Not Recommended,166,23.7 hrs on record,Posted: March 15
"EARLY ACCESS REVIEWvery good game. i recommend it to everybody who enjoy erg, survival, sandbox game. it's still in early acces so a lot of bug are there, but than again since it is in early verzion than we shoul expect a lot more to come. the developer is as well very active since the uptade about bug fix are comming out pretty fast. PS: sorry about my bad english.",Recommended,299,7.1 hrs on record,Posted: March 15
"EARLY ACCESS REVIEWThoroughly enjoy the game now; as I did when I first bought it 2 years ago. Granted some aspects of the game are still being worked on, but that's neither here nor there. Great job on developing Craftopia to what it is now, I can't wait to see what the future has in store.",Recommended,237,135.4 hrs on record,Posted: March 14
"EARLY ACCESS REVIEWThis game has such a huge potential, at this point I think it was a testing block for Palworld.Pros:Tame creaturesAutomation for grindingFun CombatGreat skill TreeHuge SandboxCreativity for building can go farCons:Horribly unstable MultiplayerNo real end game contentEven with NPC quests game feels deadVery little customization for charactersRegular movement can be clunklyRating 6/10I would recommend if wanting a nice singleplayer experience and more of a chill laid back gameplay. Would rate higher if the game had more features and multiplayer was more stable.",Recommended,501,5.4 hrs on record,Posted: March 11
EARLY ACCESS REVIEWcute,Recommended,21,74.2 hrs on record,Posted: March 8
EARLY ACCESS REVIEWThe frame rates are not good. I have adjusted everything and there still are issues where this can be totally unplayable to 90% of players out there.,Not Recommended,140,392.7 hrs on record,Posted: March 5
"EARLY ACCESS REVIEWLet your imagination go free and create, fun game",Recommended,58,8.1 hrs on record,Posted: March 5
