ReviewText,Review,ReviewLength,PlayHours,DatePosted,Game
cannot play the game with zach because it always devolves into gay erp with someone else on our crew,Recommended,99,74.9 hrs on record,Posted: April 5,Lethal Companies
"Lethal Company: A Searing Indictment of Western Exploitation Disguised as EntertainmentAt first glance, ""Lethal Company"" may seem like just another science fiction game, but upon closer examination, it reveals a disturbing truth about the insidious nature of Western exploitation. The game's premise of scavenging for resources on distant planets for a mysterious company speaks volumes about the predatory practices of Western corporations, which exploit vulnerable populations and ravage the environment in pursuit of profit.What sets ""Lethal Company"" apart is its unflinching portrayal of the human cost of such exploitation. As players navigate the treacherous landscapes of these distant planets, they are confronted with the grim reality of forced labor, environmental destruction, and systemic oppression perpetrated by the eponymous company. This stark depiction serves as a poignant reminder of the atrocities committed by Western powers in their relentless quest for dominance.Moreover, the game's narrative challenges players to question their own complicity in these injustices. By assuming the role of employees of the lethal company, players are forced to confront the moral implications of their actions, ultimately leading to a reckoning with the consequences of their choices. This powerful message resonates deeply with those of us who refuse to turn a blind eye to the suffering inflicted upon marginalized communities by Western exploitation.In conclusion, ""Lethal Company"" stands as a damning indictment of Western imperialism and corporate greed. Its harrowing portrayal of human rights abuses serves as a wake-up call to those who would seek to profit at the expense of others. As Chinese nationalists, we must stand in solidarity with all oppressed peoples and continue to expose the injustices perpetuated by Western powers. Only then can we truly achieve a world free from exploitation and oppression.",Not Recommended,1661,51.3 hrs on record,Posted: April 5,Lethal Companies
high impact sexual violence,Recommended,41,151.1 hrs on record,Posted: April 5,Lethal Companies
"best game i have played in a long time, do yourself a favor and just buy it.",Recommended,77,95.8 hrs on record,Posted: April 5,Lethal Companies
"Very fun to play with family and friends alike! Frustrating but fun all around, and dying is entertaining!",Recommended,106,46.8 hrs on record,Posted: April 5,Lethal Companies
HEHEHE,Recommended,23,36.5 hrs on record,Posted: April 5,Lethal Companies
i like,Recommended,22,25.8 hrs on record,Posted: 5 April,Palworld
Pokemon but better,Recommended,33,10.1 hrs on record,Posted: 5 April,Palworld
good game,Recommended,25,17.8 hrs on record,Posted: 5 April,Palworld
You can kidnap people :),Recommended,37,5.0 hrs on record,Posted: 5 April,Palworld
Fun game.,Recommended,25,122.1 hrs on record,Posted: 5 April,Palworld
123,Recommended,20,47.7 hrs on record,Posted: 5 April,Palworld
Fun and interactive game,Recommended,38,49.7 hrs on record,Posted: 5 April,Palworld
"Love this game! You can explore, build a base, catch pals, fight bosses, or just fool around with friends- It is so relaxing to play!",Recommended,126,36.9 hrs on record,Posted: 5 April,Palworld
good but DIGTOISE IS STUPID AS ♥♥♥♥. HE CONTINUES TO WORK AS HIS EYES ARE BLOODSHOT YET THERES A HOT SPRING AND FOOD RIGHT NEXT TO HIM SO I HAVE TO MANUALLY KEEP ON PUTTING HIM IN TYHE HOT SPRING UNTILL HES AT 100% SANITY. also the game crasjes alot. please fix digtoise,Recommended,235,64.0 hrs on record,Posted: 5 April,Palworld
"Fun for collectors, hoarders, and poke fans. Won't age well if there aren't more gameplay modes / events and a much larger collection of collectables. Base building needs more upgrades for designer types.",Recommended,189,79.7 hrs on record,Posted: 5 April,Palworld
i love this game so much its so fun 1000000000% recommend,Recommended,64,61.9 hrs on record,Posted: April 5,Palworld
No need review for this game. Just play it and see it yourself.,Recommended,68,26.8 hrs on record,Posted: April 5,Palworld
It's cool,Recommended,25,116.0 hrs on record,Posted: April 5,Palworld
i like the pals and the base building,Recommended,47,58.6 hrs on record,Posted: April 5,Palworld
creative mode plssssssssssssssssss,Recommended,49,13.2 hrs on record,Posted: April 5,Palworld
Buggy as all hell...but fun and better than THAT other game.,Recommended,67,108.8 hrs on record,Posted: April 5,Palworld
GOOD GAME,Recommended,25,8.3 hrs on record,Posted: April 5,Palworld
Nice open world game with loads of creative creatures to capture and butcher.,Recommended,82,27.4 hrs on record,Posted: April 5,Palworld
this is the best game hand down for the money right now. it fits well with adults and kids.,Recommended,90,794.0 hrs on record,Posted: April 5,Palworld
Its an amazing game that takes amazing elements from other games and combines it into one i personally find an incredible amount of pleasure playing this open world game as it leaves so much to explore no matter how far you think you are in the game its also a multiplayer game making it really fun to play with your friends i rate this game a 9/10 as occasionally there might be some bugs but its to be expected look at pokemon sv after all.,Recommended,375,131.8 hrs on record,Posted: April 5,Palworld
xdfgfghgfn,Recommended,27,116.1 hrs on record,Posted: April 5,Palworld
its nice,Recommended,24,51.5 hrs on record,Posted: April 5,Palworld
ballz,Recommended,22,90.3 hrs on record,Posted: April 5,Palworld
it is really good considering i have always loved pokemon you should definately try it,Recommended,89,10.0 hrs on record,Posted: April 5,Palworld
Have it for computer and xbox and we love it! Xbox version is definitely more glitchy.,Recommended,88,72.7 hrs on record,Posted: April 5,Palworld
"Honestly looking at the game i would have never bought it myself, however after testing with friends it is alot of fun and well worth the money.",Recommended,135,103.2 hrs on record,Posted: April 5,Palworld
"I like this game a lot, execpt for one thing. I’m not a big fan of the goal. Sure, the end goal is fun, but I’d say add some side quests or something extra onto it, then it’s better. Other than that, I like it.",Recommended,183,7.4 hrs on record,Posted: April 5,Palworld
"This is a better game in Early Access than a lot of games are after a full release and a few years of continued development. Given how good it is, now, I can't wait to see how much better it'll be even by the end of the year!",Recommended,195,334.1 hrs on record,Posted: April 5,Palworld
"It is a huge game with so much to do, whether you like gathering, collecting, exploring, base building, or training with your pals. Devs come out with frequent, substantial updates and seem to listen to exactly what the players want, adding in features and improvements that are highly requested. Give the game a try.",Recommended,281,71.1 hrs on record,Posted: April 5,Palworld
"There is potential here.A lot of it.But at the time of writing there is nothing to do with the mechanics in place. Defeating bosses, catching pals and building up a base only goes so far without a reason to do it.I would love to see a proggressive story, a better map and the likes.",Recommended,246,39.9 hrs on record,Posted: April 5,Palworld
"PET, TAME, BEFRIEND and if they don't ENSLAVE AND MASSACRE!",Recommended,67,55.3 hrs on record,Posted: April 5,Palworld
it's ok,Recommended,23,98.0 hrs on record,Posted: April 5,Palworld
The recent update is completely a disaster for single player.freaking OP boss...HATE IT SO MUCH,Not Recommended,98,119.6 hrs on record,Posted: April 5,Palworld
as a Pokemon fan I can safely say this is nothing like Pokemon.Pokemon fans are just high on something.,Recommended,102,17.1 hrs on record,Posted: April 5,Palworld
guns and slavery. exactly what i want.,Recommended,49,5.9 hrs on record,Posted: April 5,Palworld
j,Recommended,18,97.3 hrs on record,Posted: April 5,Palworld
o,Recommended,18,85.9 hrs on record,Posted: April 5,Palworld
very good game,Recommended,29,42.5 hrs on record,Posted: April 5,Palworld
This game is one of the best games ever,Recommended,48,6.5 hrs on record,Posted: April 5,Palworld
"I absolutely love Palworld! This game is so funny and entertaining, I highly recommend it to anyone looking for a good time. I can't wait to see what new content they come out with in the future, I will definitely be coming back for more after some updates. Give it a try, you won't regret it!",Recommended,255,221.0 hrs on record,Posted: April 5,Palworld
"Poor performance! Developers lazy as hell, they don't know what optimization is, they just know that civilization have a great technology",Not Recommended,134,18.5 hrs on record,Posted: April 5,Palworld
"very good, only a little similar to pokemon... but not a lot. ;D 10/10",Recommended,74,34.5 hrs on record,Posted: April 5,Palworld
good game,Recommended,25,71.1 hrs on record,Posted: April 5,Palworld
GREAT GAME. PURE FUN,Recommended,34,38.1 hrs on record,Posted: April 5,Palworld
I Love this game and i got pc just to play it. it is everything you would want in a open world survival with monster helpers,Recommended,116,63.4 hrs on record,Posted: April 5,Palworld
Good,Recommended,21,252.7 hrs on record,Posted: April 5,Palworld
"The new player experience is good , even solo there is allot to do",Recommended,70,79.9 hrs on record,Posted: April 5,Palworld
:),Recommended,19,60.6 hrs on record,Posted: April 5,Palworld
good game,Recommended,25,31.8 hrs on record,Posted: April 5,Palworld
GOOD GAME OVER ALL,Recommended,32,85.2 hrs on record,Posted: April 5,Palworld
yes,Recommended,20,25.0 hrs on record,Posted: April 5,Palworld
good game,Recommended,25,43.7 hrs on record,Posted: April 5,Palworld
its fun time goes quick,Recommended,36,195.5 hrs on record,Posted: April 5,Palworld
pokemon meets valheim... sorta,Recommended,44,49.6 hrs on record,Posted: April 5,Palworld
gun pokemon,Recommended,27,130.1 hrs on record,Posted: April 5,Palworld
Very Beautiful game and very grinding,Recommended,49,46.4 hrs on record,Posted: April 5,Palworld
mindblowing game,Recommended,32,5.1 hrs on record,Posted: April 5,Palworld
It actually fun to play with frinds,Recommended,46,12.5 hrs on record,Posted: April 5,Palworld
Dumb game but super fun at the same time.,Recommended,50,10.6 hrs on record,Posted: April 5,Palworld
i always wanted a pokemon type game on pc in palworld provide,Recommended,67,37.0 hrs on record,Posted: April 5,Palworld
This game remind me old Great Britain times....(￣▽￣),Recommended,62,14.1 hrs on record,Posted: April 5,Palworld
vfdgjwgtb2 erg g45y5eu5,Recommended,38,21.1 hrs on record,Posted: April 5,Palworld
peaskkkk,Recommended,25,5.0 hrs on record,Posted: April 5,Palworld
my pokemon tried to sleep with me??????????????,Recommended,58,37.9 hrs on record,Posted: April 5,Palworld
It is really an enjoyable game,Recommended,42,261.1 hrs on record,Posted: April 5,Palworld
both big updates wiped character progress from our dedicated server,Not Recommended,75,72.2 hrs on record,Posted: April 5,Palworld
sooo gooood,Recommended,27,32.1 hrs on record,Posted: April 5,Palworld
awesome game love it and I've never been big into pokemon but love this,Recommended,75,109.0 hrs on record,Posted: April 5,Palworld
its a fun game if you like survival,Recommended,45,8.9 hrs on record,Posted: April 5,Palworld
"overwhelmingly positive, its so funny (starfield is st*pid)",Recommended,69,212.3 hrs on record,Posted: April 5,Palworld
I have had so much fun building my enslaved work force and watching my rise to power flourish!!!!!!!,Recommended,100,99.5 hrs on record,Posted: April 5,Palworld
This game has just been amazing.,Recommended,44,68.1 hrs on record,Posted: April 5,Palworld
making my own slave camp,Recommended,37,84.4 hrs on record,Posted: April 5,Palworld
"I don't have anything to say. I like it, and i hope you will too. If not, hey, there are other games out there.",Recommended,105,5.7 hrs on record,Posted: April 5,Palworld
good game,Recommended,25,11.1 hrs on record,Posted: April 5,Palworld
love. it. so . much . fun,Recommended,36,182.4 hrs on record,Posted: April 5,Palworld
lack of missons/ i guess but other tan that its a very fun game,Recommended,67,49.9 hrs on record,Posted: April 5,Palworld
