game	playhours	reviewtext
palworld	212.3	overwhelmingly positive funny ( starfield stpid )
palworld	26.5	good
palworld	69.4	pokemon gun
palworld	76.1	like
palworld	25.9	people keep saying game literally pokemon slavery never see pal slavesi see dirt see fact dont even see sometimes forget even serve feed deceased brother make sure never sane enough realize horrible life arei dont blink eye disappear base capture anotheri really love game
palworld	37.9	love game never open waste money buy
palworld	4.9	best combin pokemons making slavery free shooting gun
palworld	46.6	
palworld	210.4	fun around everything game closely resembles trying get people play 'll sticking around one long keep going
palworld	13.2	creative mode plssssssssssssssssss
palworld	104.7	fun oh geeeeee:3333333
palworld	34.5	good little similar pokemon lot ; 10/10
palworld	25.2	fun
palworld	10.0	really good considering always loved pokemon definately try
palworld	85.2	good game
palworld	32.1	sooo gooood
palworld	88.3	fun survival game long time ca n't wait new area summer
palworld	334.1	better game early access lot game full release year continued development given good ca n't wait see much better 'll even end year
palworld	42.5	good game
palworld	90.0	pal touched im sure feel
palworld	26.5	need lot optimizing still holy beaver damn isnt best monster catcher ive played date ( sorry pokemans dont try hard enough ) ride creature around pretty big looting storing crafting stuff keep busy enough great grind
palworld	10.2	great game mow enemy butcher pal fun
palworld	116.0	's cool
palworld	8.3	good game
palworld	31.3	interesting game
palworld	47.1	pokemon gun make sweatshop whats like
palworld	97.0	first 80 hour played one 3 day weekend quit cold turkey regain sanityi breath sleep game
palworld	156.0	love game love devs funny actually listen player feedback comment hope never change keep 're 's fun ca n't wait content new pal < 3
palworld	4.9	love sl- mean pal hold gun work 10/101 amazing game
palworld	5.0	peaskkkk
palworld	103.2	honestly looking game would never bought however testing friend alot fun well worth money
palworld	137.3	new update ruined time invested base first castle new terrain engulfed important stuff ca n't get quit game glitched spot stuck longer load main base load stuck still spot last leaving game cant kill character get loot cause loot bag would stuck place cant get like wtf game fine 24 hour ago logged screwed hope get fixed future reason play gg
palworld	108.8	buggy hellbut fun better game
palworld	16.2	really amazing time playing game friend wob even made home live real life n't even bed game < 3
palworld	5.5	yup
palworld	109.0	awesome game love 've never big pokemon love
palworld	99.5	much fun building enslaved work force watching rise power flourish
palworld	35.6	fun
palworld	39.9	potential herea lot itbut time writing nothing mechanic place defeating boss catching pal building base go far without reason iti would love see proggressive story better map like
palworld	129.5	's world fun
palworld	69.9	grind make pal slave grind
palworld	47.9	game
palworld	25.8	like
palworld	71.1	good game
palworld	17.3	great
palworld	131.8	amazing game take amazing element game combine one personally find incredible amount pleasure playing open world game leaf much explore matter far think game also multiplayer game making really fun play friend rate game 9/10 occasionally might bug expected look pokemon sv
palworld	55.3	great game nice see get updatedthough content right really limitedi love game play loop discovering world get base runningi love survival game never really played monster capture game muchbut nice see incorporated 2 genre pretty wellthere 's still bug 's still early access fix send update patch whenever see bug intended featureproblem game right early access world right kind emptyyes dungeon beat tower defeat pal boss capture fightbut map big 's little thing going mapsuggestions : '' content discovery '' village town n't anything going themi suggest come dev team writer flesh story every town/region faction town people character giving quest like capture specific pal trade get rewarded key item given access dungeon certain area maybe underground city floating island terrain change fight defeat certain pal bosslike one giant skeleton lying around get 's revived ( pgru ) defeated turn covering dungeon underneath would explore underwater dungeon 's water themed pal itor free pal alliance angered giant pal caused forest grow changed landscape certain region pal forest became stronger much fasteror brother eternal pyre accidentally summon disturbed giant pal sleeping volcano upon waking caused volcano erupt also changed landscape like lava level rising maybe causing certain area move unlocking cave cavernsthere 's also possibility giant pal coming ground dessert changing landscape cave underneath explorethere 's many possibilitiesthere 's also different faction option add certain faction like people fighting free pal alliance could living tree housesopposite brother eternal pyre people like surf swim palsor total opposite free pal alliance us pal mining cavesthere 's ruin make random event certain location make interesting make lore like would ghost related pal visit one church certain night like full mooni really wish flesh story n't voice acted good animated cut sceneshave weather celestial cycle affect certain palsierain would make fire pal weak water pal much strongerfull moon would make dark pal restless much powerfulmake swamp certain area misty '' quality life '' like 's lot quality life feature make game accessible > option server least 1 person sleeping skip nightthough wondered add building gathering item hunting material would assign pal would go hunt/gather assigned material pal would specific material hunt gather would n't need animated anything slot menu sortthis way 's way farm item instead ranch pal could cause lag would pal assigned gather material overtime depending gathering level stats get many item also make use powerful pal ca n't party base
palworld	121.9	great eith friemds wish stuff
palworld	99.1	would perfect catch'em'type game crash data loss 'll playing hour 'll crash nowhere 'll lose entire hour 've playing pet gone base work gone n't even playing past hour getting point bother untill fixed 'm fond wasting time game self erase would top game crashing guess 's back game till playable steam deck honesty ca n't reccomend game way era data crashing normal crash deal erasing past hour ridiculous
palworld	68.1	game amazing
palworld	82.6	10/10
palworld	21.1	game whole lot potential im im alot fun thing wan na see game sort reputation system like able join different faction boss people talk thing making involved enhance game kind like fallout new vega course want mine im update come game wait see game continues
palworld	51.5	nice
palworld	17.1	pokemon fan safely say nothing like pokemonpokemon fan high something
palworld	21.1	vfdgjwgtb2 erg g45y5eu5
palworld	210.6	great game affordable price attentive devs 9/10
palworld	94.9	better pokemon
palworld	45.9	yippee
palworld	18.4	game lot fun thought would like following game wold recommend game : pokemon legend arcus botw totk eldenring
palworld	176.3	nfgadcmhzgdsifvghgtdscjydsgc goooood
palworld	11.0	game pretty goated dunno else say
palworld	64.7	ok
palworld	119.6	recent update completely disaster single playerfreaking op bosshate much
palworld	45.6	one best made fun early release game 've ever played n't played game 14 hour straight since bo3 love game still grinding level 50
palworld	124.3	still bug n fun would 100 % recommend
palworld	12.5	pretty fun far
palworld	60.0	's law poke'mon batman
palworld	43.7	good game
palworld	84.4	making slave camp
palworld	13.7	pokemon meet minecraft lost hour hour playing game 's addicting something get lost friend family
palworld	71.1	huge game much whether like gathering collecting exploring base building training pal devs come frequent substantial update seem listen exactly player want adding feature improvement highly requested give game try
palworld	17.8	good game
palworld	26.5	good gun pal good lot fun bug go top capule go flying breed egg get gun make home gun pal boss recommend
