game	playhours	reviewtext
lethal companies	151.1	high impact sexual violence
lethal companies	3.6	update
lethal companies	55.8	nobody read review 'll say really good game fun 200 star :3
lethal companies	6.3	change positive sex update
lethal companies	3.9	fun experience fun friend
lethal companies	8.4	nu good employee bos showed space :
lethal companies	34.1	grown men screaming mommy good
lethal companies	2.0	product refundedno mic racism
lethal companies	31.6	really fire friend
lethal companies	20.8	's enemy game 're basically normal dude mask like new afar thought teammate turned around guy face spitting blood go spectate see teammate running around like 's looney tune chase everyone got eaten blind dog except 1 guy masked dude came caught grabbed two got eaten big as sandworm
lethal companies	40.9	funny
lethal companies	78.9	got # # chased swarm baboon hawk 2 dog giant somehow lived moment live game one game actually increase heartrate 10/10 f # # # spike trap tho
lethal companies	9.3	est pro
lethal companies	52.5	best game friend
lethal companies	13.4	best game steam
lethal companies	19.1	game actually fun first terrifying kind still need monster
lethal companies	5.1	
lethal companies	33.7	uhhhhhh 5 butler ganged mugged
lethal companies	175.2	new version 50 intro made pant harder 3am trip taco bell
lethal companies	150.6	masterpiece
lethal companies	5.4	coool game
lethal companies	51.3	lethal company : searing indictment western exploitation disguised entertainmentat first glance `` lethal company '' may seem like another science fiction game upon closer examination reveals disturbing truth insidious nature western exploitation game 's premise scavenging resource distant planet mysterious company speaks volume predatory practice western corporation exploit vulnerable population ravage environment pursuit profitwhat set `` lethal company '' apart unflinching portrayal human cost exploitation player navigate treacherous landscape distant planet confronted grim reality forced labor environmental destruction systemic oppression perpetrated eponymous company stark depiction serf poignant reminder atrocity committed western power relentless quest dominancemoreover game 's narrative challenge player question complicity injustice assuming role employee lethal company player forced confront moral implication action ultimately leading reckoning consequence choice powerful message resonates deeply u refuse turn blind eye suffering inflicted upon marginalized community western exploitationin conclusion `` lethal company '' stand damning indictment western imperialism corporate greed harrowing portrayal human right abuse serf wake-up call would seek profit expense others chinese nationalist must stand solidarity oppressed people continue expose injustice perpetuated western power truly achieve world free exploitation oppression
lethal companies	20.8	yipee
lethal companies	44.1	sigma game
lethal companies	32.4	really fun 3 month since update devs running valheim model excessive success failure execute anything timely manner thereafter hope proven wrong
lethal companies	52.1	good game sex update
lethal companies	84.9	lit
lethal companies	30.3	scary game
lethal companies	11.5	amazing friend fun enjoyable highly recommend
lethal companies	7.0	nice game
lethal companies	0.5	product refundedpretty boring
lethal companies	46.8	fun play family friend alike frustrating fun around dying entertaining
lethal companies	63.3	bracken hot
lethal companies	54.3	super duper cool friend murdered though reach quota
lethal companies	8.2	yea
lethal companies	34.9	good
lethal companies	17.8	company amazing work easy job picking scrap 10/10 definitely wo n't get spaced
lethal companies	22.8	si
lethal companies	28.6	fun game scary brr blow funny haha dance friend
lethal companies	31.6	fun
lethal companies	43.5	honesty good got pc better lemon ( pc lemon )
lethal companies	12.9	died pit thing else 10/10
lethal companies	58.2	troll ur friend mask
lethal companies	130.2	opinion best multiplayer horror game fun alot stuff play multiplayer even tho know evrything still hella fun se people die scream make joke playing first three map alone calming fun way game made relize talking people aint bad love game fricking much
lethal companies	61.0	game great play friend coop horror game new update ( v50 ) coming soon
lethal companies	2.4	gud game team either autistic high af drunk af
lethal companies	129.6	damn n't lying company lethal
lethal companies	91.4	grew penis size 4 inch also got finally
lethal companies	11.5	10/10we always go beehiveswe always diewe always laugh
lethal companies	21.0	jeb
lethal companies	33.6	fa paria
lethal companies	10.6	surely ca n't lethal
lethal companies	14.6	yes
lethal companies	294.7	yippee
lethal companies	20.3	funny scary game even funnier scarier mod
lethal companies	4.6	fun
lethal companies	16.9	game make oiled
lethal companies	107.2	slot machine go brrrr mod giant robot go brrrr chasing cry like baby
lethal companies	15.3	deez
lethal companies	24.9	good horror game funny friend mod terrifying def get convince friend well
lethal companies	38.6	boob
