game	playhours	reviewtext
craftopia	69.0	janky fun
craftopia	14.6	1 beautiful graphic art style2 lot skill master upgrade3 relaxing gripping depending style prefer4 dedicated devs5 nintendo sued yetanyways love game
craftopia	32.4	welp dont support company ever
craftopia	0.3	crazy jank super glitchy movement invisible wall place ( hilariously climb ) well optimized shadow flicker extreme see terrain depending camera orientation plus story outrageously bad expected feel like unfinished early alpha
craftopia	124.4	buy game afford palworld
craftopia	135.4	thoroughly enjoy game ; first bought 2 year ago granted aspect game still worked 's neither great job developing craftopia ca n't wait see future store
craftopia	1.0	allot work gone gamebut still ready sink time intoas many player fear palworld 's success take away yet even effort completing gamehowever clear goal progress game n't want spend allot time game ready yet long timehowever game keep path worth waitedi bought early primarily support developersi recently spent 40 min game see allot changed previous time played itkeep good work
craftopia	8.1	let imagination go free create fun game
craftopia	10.2	winter swept festivity died holiday ended new year began town grown quiet usually men woman child bundled inside home heater loved one snuggled blankets- staring ceiling wishing summer would come backi adult tax file job class attend felt almost underwhelming way like barely anything changed alli wanted relive memory wanted play back game changed life wanted relive like play first time impossible breath wild favorite game time even 'd played tear kingdom previous year botw many time count bored laze around bed talk friend talk 've got ta find something new yet wanting anything new really wanted n't something new wanted something oldthis game suck mean 's buggy run horribly hilariously incomplete system bunch asset game mechanic stolen game dumped together thought whatsoever mean say buggy 's understatement half boss n't even drop 're supposed certain area n't even boss clearly supposed one time fighting bos got half health dodge one attack flew apparently got far bos reset max healthstill fun though wait sale play friend
craftopia	7.4	katana go whoosh
craftopia	59.0	ok actually going change review completely leaving bottom part still funnythere metaphor regularly used known ship theseus story boil determining whether object still regarded original object creation time go part object replaced game like many popular game decided part taken exchange mechanics/concepts game took mechanic built new ship much ship come game legend zelda breathe wild similar theme game obvious part feel directly taken thing like stamen meter work extremely similarly botw paraglider mechanic ironically game directly many ship theseus moment especially island seamless map change directly trace similar concept taken different game craftopia : certain environment large area implemented seamless world necessarily stolen seems rather heavily inspired elden ring ; area huge castle huge golden tree middle additionally thought palworld copied pokemon regret inform game original game pocketpair copied creature capturing game stolen concept player able capture creature let bidding game 's implementation mechanic mirror pokemon quite bit player damage enemy capture pokeball-like item trying say game directly copying game much inspiration : inside elden ring-like fortress unlike actual elden ring capital city creature game captured without utilizing certain item even botw part seen different inclusion upgradeable mana bar pointing game smorgasbord game need polished aspect hope item description become descriptive game performance becomes optimized enemy diversity becomes wild ( capture even bare bone pokemon concept beat real pokemon ) tl : dr : game really take heap game breathe wild hope still growsedit : like shiny achievement almost every achievement game rare since achievement added later meaning player get rare percentile actually returned/just got game
craftopia	7.9	far 's pretty fun pretty relaxed far lot crafting combat quest etci 'll see like game go enjoy
craftopia	0.6	product refundedjust
craftopia	16.6	fun playing lot flaw game 's easy exploit thing feel throw place got palworld
craftopia	52.7	money grab project studio wo n't buy early access ever
craftopia	58.1	like wish mod
craftopia	8.5	going finish game mean launched palworld worth ( devs respond delete review whether like response )
craftopia	69.2	play lot
craftopia	50.0	genuinely really fun survival craft game stand palworldfeel 's like breath wild full survival game machine automationhope devs keep craftopia update 's going even palworld 's success since game stand well regardless similarity
craftopia	12.1	fun
craftopia	24.4	hidden gem
craftopia	73.7	love reference mechanic game buggy time writing lovely small team 's personal project
craftopia	17.0	n't played 4 year id like point game cash grab might well named side note review marked irrelevant bad review review honest dev handle 10/10 go pocketpair
craftopia	21.5	palworld inspiration : also kidnp npc good game /100
craftopia	30.4	
craftopia	22.2	purchasing early access game steam promise finish fix later give developer money unfinished version support finish make another game ask u pay
craftopia	6.8	awesome game far need tlc building aspect looking forward future update
craftopia	27.5	pretty fun
craftopia	43.5	game early access seems alpha state still lot thing missing broken buggy quite frankly game mess fun lot jank well right would give hard pas worth gaming dollar game play spend money also current rate development game might never finished left broken buggy mess state
craftopia	20.3	`` item may bring despair even though beautiful world filled kind possibility buttered toast always land buttered side ; rain wash car ; want le chance acquire splendid loot loot box course wo n't realize paper late '' description toilet paper amen
craftopia	5.5	hey funded palworld
craftopia	20.3	opinion deserve review bombing getting due release palworldpeople n't seem understand dev team split proving wo n't abandoned also clear going palworld pokemon arceus botw complete challenge shrines/korok seed challenge puzzle cave tower unlock crafting fast travel palworld also much early access much content le dead map overall bit also robot basically animal job game also relatively relaxing whilst allowing semi complex logic based automation conveyor belt and/or mass farming 'm sucker actual automation conveyor beltsit 's admittedly little clunkier pw 've seen 's huge fallback world feel well crafted cave puzzle huge array animal boss vehicle weapon armour enjoy aspect 'recreating earth ' eventually finding village electricity etc cool eventually supposed ability tame literal god though personally n't done yet heard grapevineoverall success pw make hope give even resource make game great unique way 've seen vast improvement craftopia year 'm much enjoying moment one thing people also missing pw n't developed night proven capable working project working project tandem also public promising roadmap suggest checking concerned update generally plentiful overall fun
craftopia	55.5	multiplayer monster catcher survival game version zelda
craftopia	3.4	ahh performance tank cranking global illumination fx fps go 100 15 fps optimize game asap
craftopia	23.7	bought game setup dedicated server family spent 8 hr troubleshooting heck npc 's lagging matter much resource gave server
craftopia	233.4	continue enjoy
craftopia	62.8	really good game
craftopia	62.0	better palworld
craftopia	221.4	translation comedy gold guess could n't find one person speaks english selection fish : giant trevally - exactly exile like taste alone swim lonely large sessha giant trevally bamboo basket flowingblue turtle - turtle live longer huge valuable meat eaten sea egg gave birth tear also eatenshrimp - large variety eat capture tiger called black tigerkoi fish - greed consuming eat everything easy minute fishing gory need people time eat forthe developer put statement today reassure gamers success palworld wo n't take away development craftopia developed separate teamslet translate : n't worry developer actually know wo n't touch game stay team sat bugfest yearsin term update seamless update ( took 2 year release ) gutted content seamless update released 9 month ago update week finally restored last evolution age gutted seamless update existed 3 year agoi 'm rating fun messing around coop however game still full bug terrible performance moment set automation fps tank ended watching slide show today fps fell 9 rtx 3080 1440p
craftopia	87.6	's great gamethere much unlock exploremany part game remind zelda honesti really like game madeyou also use many vroid model play ( 's kinda buggy multiplayer tho ) also miss experimental start islandwith limited resource tutorialsthe old dungeon looked workedand got big change portalit 's open worldi liked idea portal needing resource unlock `` island '' /worldseach one different biome resource mobsgreat game still loving
craftopia	0.6	devs / pub one made palworlds never finished game leaving make believe wo n't finish palworlds future either
craftopia	73.8	've popped year watching game grow improve got massive update end last year consistently patched issue arose continues supported 's honestly pretty funny see people review bomb game abandoned suddenly clearly people learned craftopia due palworld playing game u watching game grow knew palworld craftopia palworld really publicly development year yet people review bombed nowthat tell need know 's palworld hater ca n't get traction review bombing palworld came bomb instead 's kinda sad really
craftopia	0.3	took 5 minute playing game realise going least fun experience year
craftopia	49.0	craftopia current state little rough around edge - 's expected early access title barring hilarious translation game absolutely playable - amount content contains enough keep occupied forty hour even n't replay terrain building system could use work overall combat fun well-balanced especially choose appropriate difficulty played seamless world update feel like game good trajectory : may turning something zelda clone 's nothing inherently wrong clone develop genre
craftopia	3.7	game hot mess ex keep going back despite hot mess working find endearingbut 's also super abusive drink
craftopia	7.0	understand mostly positive buggy performs poorly early access year picked first became available steam gotten worse time 've copied botw reason like starting area platue musical jingle lot enemy heavily based botw enemy obvious 'goblins ' clearly bokolinsgame need seriously tlc point im sure walk back botw 'inspiration ' enough make game thingthe game also run poorly frame drop getting stuck terrain game crash enemies/creatures clearly moving lower frame everything else
craftopia	53.8	decent game bug run rough pc make huge assembly line decent game monthly update improve purchased prior palworld felt review since palworld player coming incorrect assumption 'd recommend like like mix everything mainly factory/automation game ok fighting collectible
craftopia	17.9	came back long break see `` seamless '' update seemingly totally rebuilt game ground open world game instead teleporting island archipelago might see great positive game development `` clearly must done fix many issue improve game '' unfortunately reality wasted large amount development time making game different bought ( content way ) made game run considerably worse removed vast swath content reimplemented existing content made worse building thing like floor farming plot without snapping ( sorry picked plot starting area want place original spot build certain cool place free placement snapped grid able turn thing 45 degree ) hitboxes bad oftentimes take several swing sword get single hit something directly front overall made game le enjoyable play additionally trying find information update found person charge moderating steam discussion seems enjoy nuking topic game n't singing praise criticizes customer daring speak negatively game considers opinion user complaint concern `` useless '' really enjoying game pocketpair likely better known palworld hoping continue improve returning game long break 's even made concerned game well ( even though 've already gotten good amount fun palworld ) 's really disappointing see game bought early access fail improve actively get worse year waiting customer waiting update palworld hoping take peak pocketpair 's back catalogue tide 'd highly recommend getting one pointat one point would 've recommended longer considering state game
craftopia	77.1	good game thing learned led palworld
craftopia	14.9	basically palworld worse abandonedrare update dont really much game feel exactly play year ago expect game like palworld future good coat paint resell anything
craftopia	35.1	remember old game setup even close 1 nowmore look explore
craftopia	5.6	thank god character weight
craftopia	183.3	playing time would like see improvementsoverall enjoy game 1702 hour played review however multiplayer still incredibly unstable kinda affect overall quality recently multiplayer server upgrading pet pet management machine server booted done several time time lost level 47 pet nowhere foundits kicked idk many time point pretty cruicial time bos fight friend crafting something upgrading equipment 've lost hour grinding gold pet though ability maxed spent alot time leveling feeling particularly frustrated
craftopia	7.4	love craftopia b ) able bring character model honestly big + got interested another app n't think id touch much detailits still early access hope keep working
craftopia	16.9	game still look promising need much time 's playable without frustration definetly need qol like crafting chest
craftopia	74.2	cute
craftopia	1.0	product refundedi liked idea going really unpolished worth building suck combat subpar kinda wish devs gave attention 's early access like 4 year
craftopia	205.0	implementation seamless update ( one big giant world instead small island section travel ) game improved lot like open world sandbox build automation game building take little bit get used 's worth playing another nice thing adjust world setting even world created thing go character well character world separate one another big plus overall 's fun game get lost highly recommend
craftopia	21.1	pretty good
craftopia	8.6	go play palword
craftopia	73.4	recommend game high quality 'm survival game fan u got ta try game
craftopia	1.1	friend n't enjoy craptopia
craftopia	57.8	still /very/ alpha state many item description mechanic half implimented sound effect missing one later town placeholder [ test:5 stone ] quest lot effort seemingly spent newer better thing like palworld nevergeave im worriedif ever get substantial updatesif incredible potential
craftopia	0.3	disappointing clunky buggy unplayable imo
craftopia	9.5	thanks buying palworld day 1 funder craftopia
craftopia	11.0	picked recently see game changed completely set played first came outhonestly developer 1000 % already moved pal world game basically dying slowly
craftopia	8.0	game come long way year n't deserve hate 's getting palworld came 's even updated since matter 's fun right
craftopia	235.0	ive playing game year really like havent played palworld yet following update last year happy maker game cant wait see craftopia palworld monies : game isnt perfect early dev forever thing ecited added believe game roadmap : btw updated jan 24 there new biome :3 give chance fun get started couple mod make easier build ( add grid ) pls dont mean game
craftopia	1.2	jittering constant visual glitch made unplayable ( sadly ) concept cool though
craftopia	20.8	announcement made palworld discord craftopia decided check gameplays give shot actually like craftopia like palworld feel better play somehow n't feel repetitive playing multiple runthroughs palworld ( also like ) find preferring craftopia palworld get boring time level endgame pal gave condenser requires much lost interest building palworld also limited interface craftopia similar gameplay focus crafting rather catching pal love crafting worth craftopia make worth update get game
craftopia	16.8	pc capable yet game performs using potato bike extremely janky handle terribly building pretty good finding nice place build almost impossible game actually pretty decent still need ton work especially performance wise
craftopia	7.1	good game recommend everybody enjoy erg survival sandbox game 's still early acces lot bug since early verzion shoul expect lot come developer well active since uptade bug fix comming pretty fast p : sorry bad english
craftopia	22.3	game fun engaging bit grindy think magic favorite part
craftopia	63.5	liked game earlier early access might like n't know thing changed liked starting small tutorial island going place played today 2hrs see could go new place thats still game accessable til much later def extended gameplay enjoying much used enjoy quest villager get feel like completely different game
craftopia	38.5	love game one top fun building enjoy game
craftopia	9.6	fun zelda love zelda totk
craftopia	21.6	way better open world
craftopia	19.0	palworld = good game carry company game = trash please fix game pocketpair
craftopia	41.6	ya craft make fun die goblin make sad
craftopia	219.8	amazing game 's full fun interactive quest adventure best game steam played
craftopia	20.7	game worked fine n't work even though meet minimum system requirement game optimized well lower-end pc 's ram intensive 16gb ram shared minimum really need 32 gb ram minimum
craftopia	300.7	game perfect devs seem care getting update patch make improvementsi 've put almost 300 hour game moment frustration far like crafting game clearing dungeon game
craftopia	38.9	good
craftopia	197.1	remember back tiny island map dull explore tiny map made vehicle useless save maybe helicopter seamless update fixed enjoying long time game mix bunch favourite rpg aspect mix survival craft developed pal world go back pick one play would craftopia pal world night hit ill honest stop le fun craftopia palworld problem : lack storyim rpg gamer honest play title end ( get bored ) move next gaming version reading book story video game tell tell amazing feel palworld missing craftopia least generic storyline
craftopia	37.0	god wish breath wild steam
craftopia	16.5	craftopia applebee 's video gamesit 's weird amalgamation unity asset glued together try call video gameit 's soulless pointless although still get update game never finished stateyou ca n't finish developing game 's really gamethe animation jank particle effect jank system jank combat jank crafting jank feel like someone loaded bethesda game 1000 mod barely workbut suppose low standard love diverse applebee's/chili's/tgif menu game
craftopia	0.6	many bug instruction
craftopia	28.7	game feel like soulless combination everything popular 2015 2020 system interact well everything buggy janky performance game look like as still fun friend tho try make best sadly game seems abandoned even release palworld minor change bugfixes instead gameplay improvement majority content provided last month
craftopia	0.6	'm sorry unplayable took best bit made palworld
craftopia	43.4	come guy 's already 3 year ; still early access n't focus palworld ; game great potential
craftopia	5.5	horrible game multiplayer unstable monster move extremely low fps mechanic heavily inspired game like genshin impact breath wild asset animation looked stolen right genshin would surprise developer game also palworld scrutiny using ai stolen assetssteam refund stuck garbage would recommend buying even sale
craftopia	76.4	come long way start world huge game play quirky look forward seeing developed studio lot resource
craftopia	94.7	fun game lot content super fun thing activites ( really solid game )
craftopia	162.9	good
craftopia	23.3	gud gam
craftopia	0.8	really need polish game look promising please give love
craftopia	12.1	ya 'll n't heard scrap mechanic think abandoned game sad see many ignorant review saying abandoned palworld 've actively updating improving game last yeari 'm really confused craftopia got review bombed reason whatsoever hope steam deletes irrelevant review meant tank game
craftopia	5.9	never kept interest first came tried newest update playing year n't feel good play
craftopia	51.3	got far game changed
craftopia	6.8	's like taking zelda minecraft pokemon putting blender
craftopia	5.7	naughty devs finish game rain clown award come xd
craftopia	204.0	legend early form game self bad allits polished palwrold definitely fun game still
craftopia	283.4	game absolutely janky ridiculously buggy mess love everything 's got bit everything 's hilariously awesome 's clearly finished product 's done definitely going real treasure admit 's everybody also say 's basically designed say give chance
craftopia	36.7	giving game positive review 's still developed 's never much content people cry reasonto people cry game ceasing development palworld : n't
craftopia	24.5	pocketpair ruthlessly butchered game original creative take survival exploration genre removed every ounce creativity seamless world update made dollar store breath wildthey removed everything made craftopia good suddenly longer visiting new land resource became following mission across uninspired world utterly bankrupt anything everything made first version fun game feel like reason set base least 've already played whole game finished bland objectivesyou think 'm harsh ceo pocketpair gone record bragging creatively bankrupt quote `` dont necessarily particular originality im thinking want make casually think would good idea create thing way jump trendy '' genuinely making game capitalise fad quick buck n't care making decent well-thought game care ripping current ip make quick buck next game look identical hollow knight boasting iteven palworld likely abandoned soon stop profitable lazy greedy company favour endeavour ripoff successful game genuinely care game make care uninteresting making moneyso please people next time 're looking pocketpair game remember care making good game care copying game taking money support
craftopia	13.7	game embodiment `` jack trade master none '' yes element ( insert game genre ) probably done better ( game focus sole genre ) yes includes crafting building colony sim farming fps vehicle combat minion combat survival exploration storyline sure thousand different genre niche tick idle gain resource like idle game sure focus dungeon crawling absolutelydo go game expecting best rpg element best automation element know element genre justice too9/10 want play game games5/10 want play specific genre
craftopia	5.4	game huge potential point think testing block palworldpros : tame creaturesautomation grindingfun combatgreat skill treehuge sandboxcreativity building go farcons : horribly unstable multiplayerno real end game contenteven npc quest game feel deadvery little customization charactersregular movement clunklyrating 6/10i would recommend wanting nice singleplayer experience chill laid back gameplay would rate higher game feature multiplayer stable
craftopia	392.7	frame rate good adjusted everything still issue totally unplayable 90 % player
craftopia	0.2	n't like
craftopia	19.4	fun bit janky time overall good enjoyable
craftopia	26.9	love need way time update
craftopia	5.3	craftopium
craftopia	3.5	good way spend time
craftopia	77.3	
craftopia	2.5	dude wan na play game bad matter never get 50 fps n't matter empty area setting use pc pretty goodplease let play aaaaaaaa
craftopia	9.6	unplayable expensive situation
craftopia	138.5	seems people cr @ ping game pal world success n't fooled fake review good game
craftopia	103.0	game really fun reminds breath wild bit game ' leveling system really cool 's still development worth buy :
craftopia	75.9	hehehehe 69 hour
craftopia	44.7	something stole much content 's absolutely worst game 've ever played
craftopia	481.1	craftopia amusing riddlejust like many `` open world '' crafting/survival -esque game barely objective wander around armor whatever want/can mean take time whatever next desire time lacking defined ultimate goal '' crafting '' seems short term goal eventually factory thing in-masse like infinite number hot dog massively producing weapon : use clear `` achievement '' always sacrifice x amount item get barely noticeable increase stat ( ranging decimal point strength critical damage sometimes laughable amount experience ) problem stat increase little little reward sacrifice valuable item end ignoring completelygraphics okay breathtaking boring depending looking atdesign choiceswell lot saythere quite lot animal abuse ( done cartoonish way ) animal monster style somewhat mismatched ( livestock realistic design goblin goofy example ) still people may find annoyingthere still lot issue skill tree skill scaling normal others scale extremely poorly awkward execution ( skill attack place enemy easily move side ) targeting system need work overall hitting smashing enemy feel satisfying right concuroh anyone new 2 version game review mostly new versionpros : +graphics nice maybe bit average today standards+a lot place thing make chuckle try bombing goblin tank+barely limit building/crafting involved whatever want+quite good amount quirky item like gun helicopter car etc+many new life improvement ( like enchanting pet bigger item stack ) boss fought multiple time easier without go dungeon over+able max number sacrificed item every category good goalcons-if incentive bit better-despite improvement first version thing nerfed negatively ( heal super long delay refinement stone acquired via disassembly recipe anubis gated harder get among others ) -battle system still feel clunky-physics still many problem longer thing could effectively ( farm stack work may clip ground flown way fan conveyor etc ) -goddawful character creation option : extremely limited amount face hairstylesetc game brag world customization pretty limited department-no story pretty much `` real '' character interact real motive adventuring/surviving `` oops bubu '' -npcs look bit better still lifeless drone least longer poop place maybe do-just one island many biome preferred multiple island respective biomeneutral= wrong prefer older `` puzzle '' challenge type dungeon previous release= log guy want give logjust like review craftopia place feel confident may find somewhat may like even flaw recommend long n't high expectationseither making farm forgetting adventure wandering around finding stuff crafting stuff infinity making sky castle always wanteddo whatever poop wherever want
craftopia	54.1	fun grindy survival anime style graphic much 'll busy long time really recommend
craftopia	10.2	really n't remember game awful realease palworld wanted check game never got try seamless world updateto sum update made game worse difficult understand copied zelda breath wild even started beta palworld seems bit polished sadly proof devs make game leave unpolished early ace year excuse pity really wanted love game trust trusted early day potential anymore tho
craftopia	20.8	gud
craftopia	108.9	could turn pagein time 'd rearrange day twoclose close close eyesbut could n't find wayso 'll settle one day believe youtell tell tell liestell lie tell sweet little liestell liestell tell liesoh no-no ca n't disguiseyou ca n't disguiseno ca n't disguisetell lie tell sweet little liesalthough 'm making plansi hope 'll understand 's reason whyclose close close eyesno broken heartswe 're better apart let 's give trytell tell tell liestell lie tell sweet little liestell liestell tell liesoh no-no ca n't disguiseyou ca n't disguiseno ca n't disguisetell lie tell sweet little liesif could turn pagein time 'd rearrange day twoclose close close eyesbut could n't find wayso 'll settle one day believe youtell tell tell liestell lie tell sweet little liestell liestell tell liesoh no-no ca n't disguiseyou ca n't disguiseno ca n't disguisetell lie tell sweet little liestell liestell tell liesoh no-no ca n't disguiseyou ca n't disguiseno ca n't disguisetell lie tell sweet little liestell tell lie
craftopia	224.2	would like start review stating fact enjoy time playing craftopia got way back early day release major let whenever update stopped rolling outit probably red flag whenever said team going developing another game craftopia still early access n't really phase much trusted size developer team scale game hopeful stuck promise craftopia update along side new game known everyone `` palworld '' faith company quickly disappeared soon saw number people purchasing playing new game making one biggest hit steam rivaling popular game within day release problem glad company struck gold making profit earned huge concern mine yes mean game released prior palworld loses value go right window giant cash cow print money developer would like retain obtain player mean craftopia get way le update none ( currently zero proper major update since seamless came ) still early access people purchase game state expects sort attention game form update even month apart year know maybe palworld actually get constant update many eye v craftopiain conclusion : please buy game expecting updated currently playing older version ( pre-seamless ) recommend playing version game way content current version ( seamless stripped away much content prior update went 7/10 progress way back 2/10 term quality content )
craftopia	17.3	playing craftopia two year honestly super fun game lot option thing keep busy week time without bored
craftopia	44.1	game progresing right direction becoming enjoyable kid love u adult
craftopia	45.0	n't buy finished great concept half item n't work item n't even description 're like take 2 hour ( play hour allowed return game ) find automation machine meant crafted n't work craft place waste money expecting fully ( even mostly ) playable game game used cash grab left incomplete available sale 3 year
craftopia	45.7	craptopia3 hour find 5 bright herb craft magic staff find something better whole craft 25 % end get `` 0 damage increase '' gave game chance 3 time
craftopia	19.5	knew getting going game hold attention span 2 hr pretty solid book
craftopia	7.1	katana go double whoosh
craftopia	112.3	's cool
craftopia	75.7	amazingly fun game spend lot time building would n't really call grind gamereally happy recent update updating along price easily sink 50-60 hour completing basic one favorite game good road map 2024 beyond
craftopia	65.3	yes 's still early access yes lot bug thing n't work properly yes dialogue npc carbon copy eachother quest system standard `` collect 5 x '' `` kill x monster '' adore game sue
craftopia	13.6	's getting around 's breath wild rather breath wild+think everything breath wild also base building farming monster collecting multiplayerit kink work 's pretty great game
craftopia	6.6	ea since 3 year didnt add much game buggy released new game instead /clown
craftopia	27.2	considering developer currently 3 early access title development simultaneously recent release palworld feature people expected craftopia confidence title ever reach 's promised potential especially palworld one biggest game ever steam buy instead
craftopia	8.5	rest well sweet prince fun seamless world update everything brokeand turned palworld highly doubt success palworld see work craftopia would wonderful n't logically see happening seamless world update absolutely would recommended game ton fun great mix open world/fighting/survivali hope 'm wrong pocketpair continues develop craftopia
craftopia	31.8	devs took 's stuck palworld news/stories keep saying palworld n't take long 's simple took already developed craptopia re-skinned super popular today many developer need learn thier lesson like dev take put game even suck controversial player base use like dump/ignore rest take add anyting else is/was popular try
